description,redirect_url,adref,title,salary_min,__CLASS__,salary_max,latitude,salary_is_predicted,created,id,longitude,company.display_name,company.__CLASS__,location.display_name,location.__CLASS__,location.area,category.tag,category.__CLASS__,category.label,contract_time,contract_type
"Travel Physical Therapist (PT) Company: Fusion Medical Staffing Location: Facility in Sebastian, Florida Job Details Fusion Medical Staffing is seeking a skilled Physical Therapist for a 13-week travel assignment in Sebastian, Florida. As a member of our team, you'll have the opportunity to make a positive impact on the lives of patients while enjoying competitive pay, comprehensive benefits, and the support of a dedicated clinical team. Required Qualifications: Valid Physical Therapy license i…",https://www.adzuna.com/land/ad/5835657992?se=ckt0AceU8RG55JsT1vvHZw&utm_medium=api&utm_source=abfa41a4&v=71608AA6851BED8AD2B448515602530D5C836E9E,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgzNTY1Nzk5MiIsInMiOiJja3QwQWNlVThSRzU1SnNUMXZ2SFp3In0.mZ8tXbn3hSzTnVotV_N4W4hruBg4HfO4QfaiVrlNJes,Travel Physical Therapist (PT),93784.45,Adzuna::API::Response::Job,93784.45,27.816415,1,2026-08-10T10:10:05Z,5835657992,-80.470608,Fusion Medical Staffing,Adzuna::API::Response::Company,"Sebastian, Indian River County",Adzuna::API::Response::Location,"['US', 'Florida', 'Indian River County', 'Sebastian']",healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,,
"PowerBack Rehabilitation is seeking a licensed Physical Therapist to join our Healthcare & Medical Services team, specializing in post-hospital rehabilitation and recovery care. In this collaborative, team-centric environment, you will perform comprehensive evaluations, design individualized treatment plans, and deliver intensive, evidence-based therapies that help patients regain independence after surgery, injury, or illness. You’ll work closely with an interdisciplinary team using advanced p…",https://www.adzuna.com/land/ad/5835657993?se=ckt0AceU8RG55JsT1vvHZw&utm_medium=api&utm_source=abfa41a4&v=3CC5A791457879BBA09BAC3BC46E588FA4A267B7,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgzNTY1Nzk5MyIsInMiOiJja3QwQWNlVThSRzU1SnNUMXZ2SFp3In0.VhAIaUz7QisH9uCYOyihzL85RUMoS2Mpv1u6DUa1RIU,Medical (Physiotherapist),123326.13,Adzuna::API::Response::Job,123326.13,40.548423,1,2026-08-10T10:10:05Z,5835657993,-76.384678,Powerback Rehabilitation,Adzuna::API::Response::Company,"Pine Grove, Schuylkill County",Adzuna::API::Response::Location,"['US', 'Pennsylvania', 'Schuylkill County', 'Pine Grove']",healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,,
"Up to $100K Sign On Bonus – Joliet, IL – Seeking Emergency Medicine Physicians Join the Physician Partnership Where You Can Increase Your Impact Vituity’s ownership model provides autonomy, local control, and a national system of support, so you can focus your attention where you want it to be – on your patients. Join the Vituity Team. Vituity is a 100% physician-owned partnership and is led by frontline physicians that are all equitable owners. As an equal and valued partner from day one, our …",https://www.adzuna.com/land/ad/5835657994?se=ckt0AceU8RG55JsT1vvHZw&utm_medium=api&utm_source=abfa41a4&v=3BDE3F566023C270B53337BF33414250D5BDCC2D,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiY2t0MEFjZVU4Ukc1NUpzVDF2dkhadyIsImkiOiI1ODM1NjU3OTk0In0.rQHtirp2-NPL5O3qo6wwZ5PcJ7Bp7NzTD17T9kslTt0,"Physician - Emergency Medicine - Up to $100K Sign On Bonus! - Saint Joseph Medical Center, Joliet",127058.18,Adzuna::API::Response::Job,127058.18,41.590445,1,2026-08-10T10:10:05Z,5835657994,-88.094961,Vituity,Adzuna::API::Response::Company,"Joliet, Will County",Adzuna::API::Response::Location,"['US', 'Illinois', 'Will County', 'Joliet']",healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,,
"Pappas PT LLC is seeking a licensed Physical Therapist to provide high-quality outpatient orthopedic, sports, and rehabilitative care in Cranston, RI. In this role, you will perform evaluations, develop and progress individualized, evidence-based treatment plans, and deliver hands-on and therapeutic exercise interventions to restore function, reduce pain, and improve quality of life. You will collaborate closely with a supportive, multidisciplinary team, engage in regular case discussions, and …",https://www.adzuna.com/land/ad/5835657981?se=ckt0AceU8RG55JsT1vvHZw&utm_medium=api&utm_source=abfa41a4&v=AED9504F356C602BEA99F823234E58323A7DC95C,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiY2t0MEFjZVU4Ukc1NUpzVDF2dkhadyIsImkiOiI1ODM1NjU3OTgxIn0.PExNyxun2--v_gFhoSRId7Ttz3QLc94uCkBop6rfJ4E,Physical Therapist,62548.61,Adzuna::API::Response::Job,62548.61,41.451111,1,2026-08-10T10:10:02Z,5835657981,-71.496389,Pappas PT LLC,Adzuna::API::Response::Company,"Peace Dale, Washington County",Adzuna::API::Response::Location,"['US', 'Rhode Island', 'Washington County', 'Peace Dale']",healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,,
"At UniFirst, we Always Deliver —for our customers and our people. As a Route Service Representative (RSR), you’ll be the face of UniFirst to our customers, building strong relationships and ensuring their needs are met with reliability, professionalism, and care. This is a dynamic role for someone who enjoys being on the move, engaging with customers, and taking ownership of their route. You’ll manage deliveries and pickups, grow your customer accounts, and work independently while representing…",https://www.adzuna.com/land/ad/5835657983?se=ckt0AceU8RG55JsT1vvHZw&utm_medium=api&utm_source=abfa41a4&v=31CECFA5DC2766AC73FE4160841216E13677A2D0,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgzNTY1Nzk4MyIsInMiOiJja3QwQWNlVThSRzU1SnNUMXZ2SFp3In0.OFDuzdX12SiW_9vmHsVK2g7z2upO38OcI3yG6IKQ0c4,Route Service Representative - UniFirst,41238.94,Adzuna::API::Response::Job,41238.94,39.537658,1,2026-08-10T10:10:02Z,5835657983,-84.091843,UniFirst,Adzuna::API::Response::Company,"Waynesville, Warren County",Adzuna::API::Response::Location,"['US', 'Ohio', 'Warren County', 'Waynesville']",customer-services-jobs,Adzuna::API::Response::Category,Customer Services Jobs,,
"Fusion Medical Staffing is seeking a Travel Telemetry RN to provide high-quality nursing care to acutely ill adult patients on telemetry units nationwide. In this role, you’ll assess, plan, implement, and evaluate patient care, interpret and respond to cardiac rhythms, administer medications, and collaborate closely with multidisciplinary teams. You will educate patients and families, maintain accurate documentation, and ensure adherence to all clinical and safety protocols. Fusion offers a tra…",https://www.adzuna.com/land/ad/5835657970?se=ckt0AceU8RG55JsT1vvHZw&utm_medium=api&utm_source=abfa41a4&v=61ADEFAAF70FD30DFCC17247921703AC6877CCB0,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgzNTY1Nzk3MCIsInMiOiJja3QwQWNlVThSRzU1SnNUMXZ2SFp3In0.DrYp45Nq4m05xmpOhV-fra2h9QJN_VXAqc67IymoC_I,Travel Telemetry RN,35730.46,Adzuna::API::Response::Job,35730.46,33.790383,1,2026-08-10T10:10:01Z,5835657970,-84.306035,Fusion Medical Staffing,Adzuna::API::Response::Company,"North Decatur, DeKalb County",Adzuna::API::Response::Location,"['US', 'Georgia', 'DeKalb County', 'North Decatur']",healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,,
"Gifted Healthcare, a leading nursing and healthcare staffing agency, is seeking a Travel MedSurg RN for a challenging and rewarding assignment in St. Louis, Missouri. This position offers the opportunity to work in a dynamic environment where your skills in providing exceptional medical care will directly contribute to improving patient outcomes. As a Travel MedSurg RN, you will handle a variety of medical, surgical, and other health conditions, administering care under the guidance of senior h…",https://www.adzuna.com/land/ad/5835657977?se=ckt0AceU8RG55JsT1vvHZw&utm_medium=api&utm_source=abfa41a4&v=460F5DCCDB202D2AB74A291A4D376424F6CB24F9,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiY2t0MEFjZVU4Ukc1NUpzVDF2dkhadyIsImkiOiI1ODM1NjU3OTc3In0.vNHTr6FEfcnGXlAF08SWlOI4y0JFi_LSIPZZz-9xvr0,"Travel MedSurg RN in St. Louis, Missouri",42422.64,Adzuna::API::Response::Job,42422.64,38.22061,1,2026-08-10T10:10:01Z,5835657977,-90.395954,Gifted Healthcare,Adzuna::API::Response::Company,"Festus, Jefferson County",Adzuna::API::Response::Location,"['US', 'Missouri', 'Jefferson County', 'Festus']",healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,,
"Fusion Medical Staffing is seeking a Travel Cath Lab RN to deliver high-quality cardiac care across partner facilities nationwide. In this role, you’ll assist with diagnostic and interventional catheterization procedures, monitor hemodynamics, manage sedation, and support patients pre- and post-procedure. You’ll collaborate with cardiologists and multidisciplinary teams while adapting quickly to new environments. Fusion offers a supportive, transparent culture with strong clinical support, oppo…",https://www.adzuna.com/land/ad/5835657976?se=ckt0AceU8RG55JsT1vvHZw&utm_medium=api&utm_source=abfa41a4&v=92E94FE3F76E583466188CFA9EE14566E27AC96A,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiY2t0MEFjZVU4Ukc1NUpzVDF2dkhadyIsImkiOiI1ODM1NjU3OTc2In0.gkU71WTSHYOmNWnu2WPyOwUGF5ActB8Z7IUSQQGBK9g,Travel Cath Lab RN,25667.55,Adzuna::API::Response::Job,25667.55,38.742432,1,2026-08-10T10:10:01Z,5835657976,-121.251191,Fusion Medical Staffing,Adzuna::API::Response::Company,"Roseville, Placer County",Adzuna::API::Response::Location,"['US', 'California', 'Placer County', 'Roseville']",healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,,
"Physical Therapist Career Opportunity $10,000 Sign-On Available for Full-Time Join a Team That Puts Your Passion for Care First Are you seeking a fulfilling career that feels like home and lets you make a meaningful impact? At Encompass Health, you'll find an opportunity to provide exceptional care and support to our patients, witnessing their remarkable progress firsthand. As a Physical Therapist, your specialized skills will help deliver high-quality, compassionate care, allowing you the time…",https://www.adzuna.com/land/ad/5835657974?se=ckt0AceU8RG55JsT1vvHZw&utm_medium=api&utm_source=abfa41a4&v=C0ADCFF3577A3565BF1F5692D887B1C1EDA40289,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiY2t0MEFjZVU4Ukc1NUpzVDF2dkhadyIsImkiOiI1ODM1NjU3OTc0In0.5t91G_Z3y6IqTKIp2dE6r8-U5S6M5Y2_vLt-0Idqnqc,Therapy: Physical Therapist,83732.18,Adzuna::API::Response::Job,83732.18,42.425096,1,2026-08-10T10:10:01Z,5835657974,-71.066163,Encompass Health Rehabilitation Hospital of New England at Beverly,Adzuna::API::Response::Company,"Malden, Middlesex County",Adzuna::API::Response::Location,"['US', 'Massachusetts', 'Middlesex County', 'Malden']",healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,part_time,
"Hiring Event: Tuesday, Sept. 8th from 8:30AM-4:30PM Location: Holiday Inn & Suites Davenport- 4215 Elmore Ave. Davenport, IA 52807 HPC Industrial, powered by Clean Harbors, is looking for a Class A or B CDL Operator to join their safety conscious team! The CDL Operator is responsible for the safe and proper execution of HPC Industrial jobs across all services lines. Supervises and completes single task jobs requiring one crew and completes turnarounds with management oversight at client’s site …",https://www.adzuna.com/land/ad/5835657959?se=ckt0AceU8RG55JsT1vvHZw&utm_medium=api&utm_source=abfa41a4&v=00975AC81DFBDEA15A393221BDB8BBC29FFAE468,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgzNTY1Nzk1OSIsInMiOiJja3QwQWNlVThSRzU1SnNUMXZ2SFp3In0.Qn9SYBEuqEF12a-OrSxHVHFTGiv1-I9gysSGMAgcRBE,Class A/B CDL Driver/Operator,27462.72,Adzuna::API::Response::Job,27462.72,41.5655,1,2026-08-10T10:10:00Z,5835657959,-90.424709,HPC Industrial powered by Clean Harbors,Adzuna::API::Response::Company,"Campbells Island, Rock Island County",Adzuna::API::Response::Location,"['US', 'Illinois', 'Rock Island County', 'Campbells Island']",trade-construction-jobs,Adzuna::API::Response::Category,Trade & Construction Jobs,full_time,
