description,longitude,adref,id,redirect_url,salary_max,salary_is_predicted,latitude,created,__CLASS__,salary_min,title,company.__CLASS__,company.display_name,category.__CLASS__,category.tag,category.label,location.area,location.__CLASS__,location.display_name,contract_time,contract_type
"NEW RECRUITMENT AND RETENTION INCENTIVES! IMPORTANT NOTICE: Duty assignments available at the time of offer may include the Southwest Border, including prioritized locations. U.S. Border Patrol determines duty assignments at the time of offer based on operational needs, which may or may not align with candidates' first-choice preferences. Relocation may be required. DON'T FORGET TO CHECK OUT THE INCENTIVES - SEE SALARY SECTION BELOW The U.S. Border Patrol (USBP) offers those interested in a car…",-85.6003,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY4OTg3OTc3NyIsInMiOiJ5cE90Rmk0dzhSR3l6Y205TDJVYXZ3In0.A7U9gz3ep9XnSMXhcACCoYiWg--SBTnh4S1Ffph1_14,5689879777,https://www.adzuna.com/land/ad/5689879777?se=ypOtFi4w8RGyzcm9L2Uavw&utm_medium=api&utm_source=abfa41a4&v=05B0F2F69C7D63BE3A82D141A70CE6B2473195D0,72831.91,1,30.1995,2026-04-04T09:54:15Z,Adzuna::API::Response::Job,72831.91,Border Patrol Agent,Adzuna::API::Response::Company,United States Customs and Border Protection,Adzuna::API::Response::Category,legal-jobs,Legal Jobs,"['US', 'Florida', 'Bay County', 'Panama']",Adzuna::API::Response::Location,"Panama, Bay County",,
"Vivian is looking for Travel Physical Therapist Therapys in Las Vegas, New Mexico paying up to $3,326/week At Vivian, we ensure your next step is a step forward. That's why we built a jobs marketplace that serves healthcare professionals first. It's easy to get started: Create a profile - Build your reputation with a universal profile that works across hundreds of different healthcare employers. Explore your options - Select your preferences (shift details, salary, location, etc.) and discover …",-105.19812,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY4OTg3OTc3MiIsInMiOiJ5cE90Rmk0dzhSR3l6Y205TDJVYXZ3In0.RfIdFjR9NI-Rx6JuZMBLgqXYYNBRFYZdK_Wn37QzM3k,5689879772,https://www.adzuna.com/land/ad/5689879772?se=ypOtFi4w8RGyzcm9L2Uavw&utm_medium=api&utm_source=abfa41a4&v=3F45FC89EF3DBCE6FC0AE67CE33D46E6F0D39EA3,172952.0,0,35.5902,2026-04-04T09:54:13Z,Adzuna::API::Response::Job,0.0,"Travel Physical Therapist - Paying up to $3,326/week",Adzuna::API::Response::Company,Vivian Health,Adzuna::API::Response::Category,healthcare-nursing-jobs,Healthcare & Nursing Jobs,"['US', 'New Mexico', 'San Miguel County', 'West Las Vegas']",Adzuna::API::Response::Location,"West Las Vegas, San Miguel County",,
"NEW RECRUITMENT AND RETENTION INCENTIVES! IMPORTANT NOTICE: Duty assignments available at the time of offer may include the Southwest Border, including prioritized locations. U.S. Border Patrol determines duty assignments at the time of offer based on operational needs, which may or may not align with candidates' first-choice preferences. Relocation may be required. DON'T FORGET TO CHECK OUT THE INCENTIVES - SEE SALARY SECTION BELOW The U.S. Border Patrol (USBP) offers those interested in a car…",-92.961884,eyJhbGciOiJIUzI1NiJ9.eyJzIjoieXBPdEZpNHc4Ukd5emNtOUwyVWF2dyIsImkiOiI1Njg5ODc5NzY4In0.cokBFsC0kRVN7wg64cJgWTcvLBXcXaWWAtTFPtdsTtA,5689879768,https://www.adzuna.com/land/ad/5689879768?se=ypOtFi4w8RGyzcm9L2Uavw&utm_medium=api&utm_source=abfa41a4&v=17144495C6C6624FFA29AE30EB6E362689C9B6D0,70055.86,1,45.485241,2026-04-04T09:54:12Z,Adzuna::API::Response::Job,70055.86,Border Patrol Agent,Adzuna::API::Response::Company,United States Customs and Border Protection,Adzuna::API::Response::Category,legal-jobs,Legal Jobs,"['US', 'Minnesota', 'Chisago County', 'Branch']",Adzuna::API::Response::Location,"Branch, Chisago County",,
"NEW RECRUITMENT AND RETENTION INCENTIVES! IMPORTANT NOTICE: Duty assignments available at the time of offer may include the Southwest Border, including prioritized locations. U.S. Border Patrol determines duty assignments at the time of offer based on operational needs, which may or may not align with candidates' first-choice preferences. Relocation may be required. DON'T FORGET TO CHECK OUT THE INCENTIVES - SEE SALARY SECTION BELOW The U.S. Border Patrol (USBP) offers those interested in a car…",-74.78794,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY4OTg3OTc2OSIsInMiOiJ5cE90Rmk0dzhSR3l6Y205TDJVYXZ3In0.bs-5dK02AwrzMjZMb9ojKQKljpqsfV2IGXS65eD9Y4M,5689879769,https://www.adzuna.com/land/ad/5689879769?se=ypOtFi4w8RGyzcm9L2Uavw&utm_medium=api&utm_source=abfa41a4&v=315BE9B5AF5040437B27A41D74896AFA1BAC05A5,71548.52,1,40.211498,2026-04-04T09:54:12Z,Adzuna::API::Response::Job,71548.52,"Experienced Border Patrol Agent, Up to $20,000 Sign-On Bonus",Adzuna::API::Response::Company,United States Customs and Border Protection,Adzuna::API::Response::Category,legal-jobs,Legal Jobs,"['US', 'Pennsylvania', 'Bucks County', 'Morrisville']",Adzuna::API::Response::Location,"Morrisville, Bucks County",,
"Vivian is looking for Travel Speech Language Pathologist Therapys in Naples, Florida paying up to $2,600/week At Vivian, we ensure your next step is a step forward. That's why we built a jobs marketplace that serves healthcare professionals first. It's easy to get started: Create a profile - Build your reputation with a universal profile that works across hundreds of different healthcare employers. Explore your options - Select your preferences (shift details, salary, location, etc.) and discov…",-81.7957,eyJhbGciOiJIUzI1NiJ9.eyJzIjoieXBPdEZpNHc4Ukd5emNtOUwyVWF2dyIsImkiOiI1Njg5ODc5NzYyIn0.X5qk8zyJPNNE7se3C4rDLGrbm5ZvS0YgoASOvfPZ_6M,5689879762,https://www.adzuna.com/land/ad/5689879762?se=ypOtFi4w8RGyzcm9L2Uavw&utm_medium=api&utm_source=abfa41a4&v=60C61809E536D952C8C2F1C4F5A67566011BC611,135200.0,0,26.143,2026-04-04T09:54:11Z,Adzuna::API::Response::Job,0.0,"Travel Speech Language Pathologist - Paying up to $2,600/week",Adzuna::API::Response::Company,Vivian Health,Adzuna::API::Response::Category,healthcare-nursing-jobs,Healthcare & Nursing Jobs,"['US', 'Florida', 'Collier County', 'Naples']",Adzuna::API::Response::Location,"Naples, Collier County",,
"NEW RECRUITMENT AND RETENTION INCENTIVES! IMPORTANT NOTICE: Duty assignments available at the time of offer may include the Southwest Border, including prioritized locations. U.S. Border Patrol determines duty assignments at the time of offer based on operational needs, which may or may not align with candidates' first-choice preferences. Relocation may be required. DON'T FORGET TO CHECK OUT THE INCENTIVES - SEE SALARY SECTION BELOW The U.S. Border Patrol (USBP) offers those interested in a car…",-122.812,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY4OTg3OTc2MyIsInMiOiJ5cE90Rmk0dzhSR3l6Y205TDJVYXZ3In0.c6QnVQqIyfWWkMh-A6H1xPqqxacoraRsiKhQMtBJAtQ,5689879763,https://www.adzuna.com/land/ad/5689879763?se=ypOtFi4w8RGyzcm9L2Uavw&utm_medium=api&utm_source=abfa41a4&v=AF437C28282FEAF8E7DA6E64A263D85B9AEEAC1F,67573.92,1,45.892,2026-04-04T09:54:11Z,Adzuna::API::Response::Job,67573.92,Border Patrol Agent,Adzuna::API::Response::Company,United States Customs and Border Protection,Adzuna::API::Response::Category,legal-jobs,Legal Jobs,"['US', 'Oregon', 'Columbia County', 'Columbia']",Adzuna::API::Response::Location,"Columbia, Columbia County",,
"NEW RECRUITMENT AND RETENTION INCENTIVES! IMPORTANT NOTICE: Duty assignments available at the time of offer may include the Southwest Border, including prioritized locations. U.S. Border Patrol determines duty assignments at the time of offer based on operational needs, which may or may not align with candidates' first-choice preferences. Relocation may be required. DON'T FORGET TO CHECK OUT THE INCENTIVES - SEE SALARY SECTION BELOW The U.S. Border Patrol (USBP) offers those interested in a car…",-72.768823,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY4OTg3OTc2NiIsInMiOiJ5cE90Rmk0dzhSR3l6Y205TDJVYXZ3In0.bMj6kcH2qFM-bydwbFPSfAK2km8aMKKQnnuSGZUm7XU,5689879766,https://www.adzuna.com/land/ad/5689879766?se=ypOtFi4w8RGyzcm9L2Uavw&utm_medium=api&utm_source=abfa41a4&v=71406F3D0955F3F81BB52394D49FA721BD87E59C,76504.57,1,41.525482,2026-04-04T09:54:11Z,Adzuna::API::Response::Job,76504.57,"Entry-Level Border Patrol Agent - $20,000 Sign-On Bonus",Adzuna::API::Response::Company,United States Customs and Border Protection,Adzuna::API::Response::Category,legal-jobs,Legal Jobs,"['US', 'Connecticut', 'New Haven County', 'Meriden']",Adzuna::API::Response::Location,"Meriden, New Haven County",,
"Vivian is looking for Travel Physical Therapist Therapys in Florence, Kentucky paying up to $1,996/week At Vivian, we ensure your next step is a step forward. That's why we built a jobs marketplace that serves healthcare professionals first. It's easy to get started: Create a profile - Build your reputation with a universal profile that works across hundreds of different healthcare employers. Explore your options - Select your preferences (shift details, salary, location, etc.) and discover job…",-84.642912,eyJhbGciOiJIUzI1NiJ9.eyJzIjoieXBPdEZpNHc4Ukd5emNtOUwyVWF2dyIsImkiOiI1Njg5ODc5NzU3In0.khqXzKYfAFjbaUVhFjKDghtqt9R-eN3u6W0OHA975BY,5689879757,https://www.adzuna.com/land/ad/5689879757?se=ypOtFi4w8RGyzcm9L2Uavw&utm_medium=api&utm_source=abfa41a4&v=85ECDEAC35A3821FB5DB7BF7BAAEB8DBC45A9D70,103792.0,0,38.991501,2026-04-04T09:54:09Z,Adzuna::API::Response::Job,0.0,"Travel Physical Therapist - Paying up to $1,996/week",Adzuna::API::Response::Company,Vivian Health,Adzuna::API::Response::Category,healthcare-nursing-jobs,Healthcare & Nursing Jobs,"['US', 'Kentucky', 'Boone County', 'Hopeful Heights']",Adzuna::API::Response::Location,"Hopeful Heights, Boone County",,
"Vivian is looking for Travel Physical Therapist Therapys in Clarksdale, Mississippi paying up to $2,239/week At Vivian, we ensure your next step is a step forward. That's why we built a jobs marketplace that serves healthcare professionals first. It's easy to get started: Create a profile - Build your reputation with a universal profile that works across hundreds of different healthcare employers. Explore your options - Select your preferences (shift details, salary, location, etc.) and discove…",-90.570932,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY4OTg3OTc1MiIsInMiOiJ5cE90Rmk0dzhSR3l6Y205TDJVYXZ3In0.08qWVjGm2wB-6a2PwYqcqVeQhk6Q7OZzvsL-ZsFyJdA,5689879752,https://www.adzuna.com/land/ad/5689879752?se=ypOtFi4w8RGyzcm9L2Uavw&utm_medium=api&utm_source=abfa41a4&v=7B7CFC611E5E22B8E9D58B4193ED0DB26377FE77,116428.0,0,34.200109,2026-04-04T09:54:09Z,Adzuna::API::Response::Job,0.0,"Travel Physical Therapist - Paying up to $2,239/week",Adzuna::API::Response::Company,Vivian Health,Adzuna::API::Response::Category,healthcare-nursing-jobs,Healthcare & Nursing Jobs,"['US', 'Mississippi', 'Coahoma County', 'Clarksdale']",Adzuna::API::Response::Location,"Clarksdale, Coahoma County",,
"Vivian is looking for Travel Physical Therapist Therapys in Harrisonburg, Virginia paying up to $2,466/week At Vivian, we ensure your next step is a step forward. That's why we built a jobs marketplace that serves healthcare professionals first. It's easy to get started: Create a profile - Build your reputation with a universal profile that works across hundreds of different healthcare employers. Explore your options - Select your preferences (shift details, salary, location, etc.) and discover…",-78.860499,eyJhbGciOiJIUzI1NiJ9.eyJzIjoieXBPdEZpNHc4Ukd5emNtOUwyVWF2dyIsImkiOiI1Njg5ODc5NzU1In0.uDyirOHv-GK9e1zSIOu5blQL_PhuO2QZ3S8IzuiA55w,5689879755,https://www.adzuna.com/land/ad/5689879755?se=ypOtFi4w8RGyzcm9L2Uavw&utm_medium=api&utm_source=abfa41a4&v=8C3ABFA6EA18F573C1F966A591B2050C07234F4E,128232.0,0,38.471105,2026-04-04T09:54:09Z,Adzuna::API::Response::Job,0.0,"Travel Outpatient Physical Therapist - Paying up to $2,466/week",Adzuna::API::Response::Company,Vivian Health,Adzuna::API::Response::Category,healthcare-nursing-jobs,Healthcare & Nursing Jobs,"['US', 'Virginia', 'Harrisonburg City', 'Harrisonburg']",Adzuna::API::Response::Location,"Harrisonburg, Harrisonburg City",,
