description,latitude,created,longitude,__CLASS__,adref,salary_min,redirect_url,id,salary_is_predicted,title,salary_max,company.__CLASS__,company.display_name,location.area,location.__CLASS__,location.display_name,category.tag,category.__CLASS__,category.label,contract_time,contract_type
"SYSTEM FREIGHT is hiring Local CDL-A Drivers for PM shift regional routes. In this home-daily role, you’ll haul time-sensitive, high-volume freight across the Northeast and Mid-Atlantic. Responsibilities include safe and timely pickup and delivery, operating late-model tractors, completing logs and pre/post-trip inspections, and following all DOT and company safety regulations. Enjoy consistent freight, predictable schedules, competitive pay, and a family-oriented culture that values profession…",40.58266,2026-08-09T09:39:40Z,-74.965041,Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiWVBvdHlmbVQ4UkdwX3JhcDhFd0J5dyIsImkiOiI1ODM0Njk5NTA0In0.M_BG-naFoYglE1qDypUmGDFzB4Tcy3Ik46tl7r8mZns,70000.0,https://www.adzuna.com/land/ad/5834699504?se=YPotyfmT8RGp_rap8EwByw&utm_medium=api&utm_source=abfa41a4&v=C9F3C691A92E19AB05C9B69FC74BD7D7158EB7D0,5834699504,0,Local CDL-A Driver,90000.0,Adzuna::API::Response::Company,SYSTEM FREIGHT,"['US', 'New Jersey', 'Hunterdon County', 'Pittstown']",Adzuna::API::Response::Location,"Pittstown, Hunterdon County",logistics-warehouse-jobs,Adzuna::API::Response::Category,Logistics & Warehouse Jobs,,
"System Freight is seeking a safety-focused Local CDL-A Driver to handle regional, time-sensitive freight across the Northeast and Mid-Atlantic. In this family-oriented, professional environment, you’ll run consistent local and regional routes, perform safe and efficient pickups and deliveries, complete accurate logs and inspections, and communicate clearly with dispatch and customers. Enjoy stable, year-round freight, competitive pay, and the backing of an established, dedicated fleet carrier t…",40.430342,2026-08-09T09:39:39Z,-74.406556,Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiWVBvdHlmbVQ4UkdwX3JhcDhFd0J5dyIsImkiOiI1ODM0Njk5NTAzIn0.aQh3xtko9RFnRmnf0FTczOI6cfiJcyEAeGWMdauI174,70000.0,https://www.adzuna.com/land/ad/5834699503?se=YPotyfmT8RGp_rap8EwByw&utm_medium=api&utm_source=abfa41a4&v=0469026AFA774BC1BB8F2BD9C45E190E9D244E2D,5834699503,0,Local CDL-A Driver,90000.0,Adzuna::API::Response::Company,SYSTEM FREIGHT,"['US', 'New Jersey', 'Middlesex County', 'East Brunswick']",Adzuna::API::Response::Location,"East Brunswick, Middlesex County",logistics-warehouse-jobs,Adzuna::API::Response::Category,Logistics & Warehouse Jobs,,
"System Freight is seeking a safety-focused Local CDL-A Driver to handle regional, time-sensitive freight across the Northeast and Mid-Atlantic. In this family-oriented, professional environment, you’ll run consistent local and regional routes, perform safe and efficient pickups and deliveries, complete accurate logs and inspections, and communicate clearly with dispatch and customers. Enjoy stable, year-round freight, competitive pay, and the backing of an established, dedicated fleet carrier t…",40.624003,2026-08-09T09:39:36Z,-74.740786,Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgzNDY5OTUwMiIsInMiOiJZUG90eWZtVDhSR3BfcmFwOEV3Qnl3In0.lvR1CBq2HkKfSsdsykZowYkL7jZHPrY02WjJQRYngn0,70000.0,https://www.adzuna.com/land/ad/5834699502?se=YPotyfmT8RGp_rap8EwByw&utm_medium=api&utm_source=abfa41a4&v=03762F9119CC1BD882E86E5BC7AAEA4366F799C4,5834699502,0,Local CDL-A Driver,90000.0,Adzuna::API::Response::Company,SYSTEM FREIGHT,"['US', 'New Jersey', 'Hunterdon County', 'Whitehouse']",Adzuna::API::Response::Location,"Whitehouse, Hunterdon County",logistics-warehouse-jobs,Adzuna::API::Response::Category,Logistics & Warehouse Jobs,,
"System Freight is seeking a safety-focused Local CDL-A Driver to handle regional, time-sensitive freight across the Northeast and Mid-Atlantic. In this family-oriented, professional environment, you’ll run consistent local and regional routes, perform safe and efficient pickups and deliveries, complete accurate logs and inspections, and communicate clearly with dispatch and customers. Enjoy stable, year-round freight, competitive pay, and the backing of an established, dedicated fleet carrier t…",39.7551,2026-08-09T09:39:34Z,-76.0693,Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgzNDY5OTUwMCIsInMiOiJZUG90eWZtVDhSR3BfcmFwOEV3Qnl3In0.fXvvpbvLJLa6XmIIrU8p0SprBeHe49N4PP9XcPbJqnU,70000.0,https://www.adzuna.com/land/ad/5834699500?se=YPotyfmT8RGp_rap8EwByw&utm_medium=api&utm_source=abfa41a4&v=C7EAF1E569690B323E5F6AEF2E5113ECE1F1BC05,5834699500,0,Local CDL-A Driver,90000.0,Adzuna::API::Response::Company,SYSTEM FREIGHT,"['US', 'Pennsylvania', 'Chester County', 'Nottingham']",Adzuna::API::Response::Location,"Nottingham, Chester County",logistics-warehouse-jobs,Adzuna::API::Response::Category,Logistics & Warehouse Jobs,,
"SYSTEM FREIGHT is seeking a CDL-A Local Driver based in Milford, NJ. In this role, you’ll handle regional, time-sensitive freight with daily or frequent home time. Responsibilities include safe and timely pickup and delivery, operating late-model equipment, completing logs and inspections, and following DOT and company safety standards. You’ll work with dedicated accounts, steady year-round freight, and a family-oriented team that values professionalism, reliability, and respect. Enjoy competit…",40.445938,2026-08-09T09:39:27Z,-74.943501,Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgzNDY5OTQ5OSIsInMiOiJZUG90eWZtVDhSR3BfcmFwOEV3Qnl3In0.SdMXG5991jkvbt9Z770NnNaTwhCHa0eW_2e3nBx2ggI,64000.0,https://www.adzuna.com/land/ad/5834699499?se=YPotyfmT8RGp_rap8EwByw&utm_medium=api&utm_source=abfa41a4&v=C2C22A7FD1D3455BEFFA3084D107F7BF30DDDCBE,5834699499,0,CDL-A Local Driver,76000.0,Adzuna::API::Response::Company,SYSTEM FREIGHT,"['US', 'New Jersey', 'Hunterdon County', 'Sergeantsville']",Adzuna::API::Response::Location,"Sergeantsville, Hunterdon County",logistics-warehouse-jobs,Adzuna::API::Response::Category,Logistics & Warehouse Jobs,,
"System Freight, a family-oriented regional carrier, is hiring CDL-A Drivers in Batavia, NY. Drive dedicated, time-sensitive, high-volume regional freight across the Northeast and Mid-Atlantic. Enjoy consistent routes, home time, and a strong safety culture with modern, well-maintained equipment. Responsibilities include safe and timely pickup/delivery, accurate logs, and vehicle inspections. Work with a supportive dispatch team that values professionalism, reliability, and respect. Join an esta…",42.871411,2026-08-09T09:39:05Z,-77.885936,Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgzNDY5OTQ5NiIsInMiOiJZUG90eWZtVDhSR3BfcmFwOEV3Qnl3In0.a-ymkb0Gg96OgQsfoe9RjMb5gdb-veiX_cOPBD26iwU,66000.0,https://www.adzuna.com/land/ad/5834699496?se=YPotyfmT8RGp_rap8EwByw&utm_medium=api&utm_source=abfa41a4&v=496FC8A95957636054CEBF18326C867CE653A8B8,5834699496,0,CDL-A Driver,82000.0,Adzuna::API::Response::Company,SYSTEM FREIGHT,"['US', 'New York', 'Livingston County', 'Piffard']",Adzuna::API::Response::Location,"Piffard, Livingston County",logistics-warehouse-jobs,Adzuna::API::Response::Category,Logistics & Warehouse Jobs,,
"System Freight is seeking a safety-focused Local CDL-A Driver to handle regional, time-sensitive freight across the Northeast and Mid-Atlantic. In this family-oriented, professional environment, you’ll run consistent local and regional routes, perform safe and efficient pickups and deliveries, complete accurate logs and inspections, and communicate clearly with dispatch and customers. Enjoy stable, year-round freight, competitive pay, and the backing of an established, dedicated fleet carrier t…",43.14888,2026-08-09T09:39:01Z,-76.21488,Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiWVBvdHlmbVQ4UkdwX3JhcDhFd0J5dyIsImkiOiI1ODM0Njk5NDk1In0.Yc3cmhN3qsSU8rc7cOtXKZSLzVnUY11uaaQ_JR5UHpE,70000.0,https://www.adzuna.com/land/ad/5834699495?se=YPotyfmT8RGp_rap8EwByw&utm_medium=api&utm_source=abfa41a4&v=DC0940C18AB06F41F98868D400843F2300C9D02E,5834699495,0,Local CDL-A Driver,90000.0,Adzuna::API::Response::Company,SYSTEM FREIGHT,"['US', 'New York', 'Onondaga County', 'Dominion Park']",Adzuna::API::Response::Location,"Dominion Park, Onondaga County",logistics-warehouse-jobs,Adzuna::API::Response::Category,Logistics & Warehouse Jobs,,
"GQR Healthcare is seeking a travel nurse RN PCU - Progressive Care Unit for a travel nursing job in Sioux City, Iowa. Job Description & Requirements Specialty: PCU - Progressive Care Unit Discipline: RN Start Date: 08/31/2026 Duration: 13 weeks 36 hours per week Shift: 12 hours, days Employment Type: Travel Contract - W2 Cardiac Stepdown (PCU/IMC) Registered Nurse (RN) Job Location: Sioux City, Iowa Start Date: August 31, 2026 Profession: Registered Nurse (RN) Facility: Estimated Pay: $2095.24 …",42.401,2026-08-09T09:38:56Z,-96.373,Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTgzNDY5OTQ5MiIsInMiOiJZUG90eWZtVDhSR3BfcmFwOEV3Qnl3In0.KC09sPmpx2vE7vg464inzFlHUZW-fG0vJvc21yrQHHs,0.0,https://www.adzuna.com/land/ad/5834699492?se=YPotyfmT8RGp_rap8EwByw&utm_medium=api&utm_source=abfa41a4&v=163D415A56C01A7AEAA6AD3FBE0DE7594B887AB7,5834699492,0,"Travel PCU / Stepdown RN - $2,095 per week",108940.0,Adzuna::API::Response::Company,GQR Healthcare,"['US', 'Iowa', 'Woodbury County', 'Sergeant Bluff']",Adzuna::API::Response::Location,"Sergeant Bluff, Woodbury County",healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,,
"Stability Healthcare is seeking a local contract nurse RN OR - Operating Room for a local contract nursing job in York, Maine. Job Description & Requirements Specialty: OR - Operating Room Discipline: RN Duration: 13 weeks 40 hours per week Shift: 8 hours, days Employment Type: Local Contract Stability Healthcare is looking for a OR RN contract position in York, ME. Also known as perioperative nurses, operating room (OR) nurses provide care for patients before, during, and after surgical proced…",43.153967,2026-08-09T09:38:56Z,-70.653511,Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiWVBvdHlmbVQ4UkdwX3JhcDhFd0J5dyIsImkiOiI1ODM0Njk5NDkwIn0.KAhlDz34_PjnYi4183vbzzdgKT6-HugQULzL_8qU8A8,0.0,https://www.adzuna.com/land/ad/5834699490?se=YPotyfmT8RGp_rap8EwByw&utm_medium=api&utm_source=abfa41a4&v=36DC2C13D9F1132DA7E68D297BC730B7899DF439,5834699490,0,Local Contract Operating Room RN (Circulation & Scrub) - $51 per hour,106080.0,Adzuna::API::Response::Company,Stability Healthcare,"['US', 'Maine', 'York County', 'York']",Adzuna::API::Response::Location,"York, York County",healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,,
"VyTalent Solutions is seeking a travel nurse RN Med Surg for a travel nursing job in Ogden, Utah. Job Description & Requirements Specialty: Med Surg Discipline: RN Start Date: 09/07/2026 Duration: 12 weeks 36 hours per week Shift: 12 hours Employment Type: Travel The right role can make all the difference in your career. At VyTalent Solutions, we support healthcare professionals with opportunities designed to meet today’s workforce needs. We’re currently looking for a RN for a hospital contract…",41.188454,2026-08-09T09:38:55Z,-111.949423,Adzuna::API::Response::Job,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiWVBvdHlmbVQ4UkdwX3JhcDhFd0J5dyIsImkiOiI1ODM0Njk5NDg4In0.wIXD0HQa-6axlVRzXzaheFdUHwMJLtXEKMio1m7BdDw,0.0,https://www.adzuna.com/land/ad/5834699488?se=YPotyfmT8RGp_rap8EwByw&utm_medium=api&utm_source=abfa41a4&v=EBDE30A41D7B9B1E4E4F2C49AFABDA3262B48337,5834699488,0,"Travel Nurse RN - Med Surg - $1,598 per week",83096.0,Adzuna::API::Response::Company,VyTalent Solutions,"['US', 'Utah', 'Weber County', 'South Ogden']",Adzuna::API::Response::Location,"South Ogden, Weber County",healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,,
