salary_max,longitude,description,redirect_url,created,__CLASS__,id,latitude,salary_is_predicted,adref,salary_min,title,location.display_name,location.area,location.__CLASS__,category.label,category.__CLASS__,category.tag,company.display_name,company.__CLASS__,contract_time,contract_type
38520.57,-89.92536,"What is Uber? Driving with Uber is an alternative to a part-time or full-time job and can get you earning cash on the road quickly. Driving with Uber allows you to earn quick cash while maintaining the flexibility your schedule requires (gig, part-time, full-time, seasonal, hourly, or temporary) Why Drive With Uber?: Receive your earnings fast: With Uber, you can cash out your earnings up to 5 times a day with Instant Pay. You are your own boss: You decide how much or little you want to drive a…",https://www.adzuna.com/details/5683177348?utm_medium=api&utm_source=abfa41a4,2026-03-30T10:13:56Z,Adzuna::API::Response::Job,5683177348,35.19186,1,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY4MzE3NzM0OCIsInMiOiJWRmlCMVVZczhSR1I3Y18wdTlzdUp3In0.AYNcpgdgtDYFvAkV19YLXlhWNtkz46KOdHoloufJa8k,38520.57,Drive with Uber for weekend cash,"Woodstock, Shelby County","['US', 'Tennessee', 'Shelby County', 'Woodstock']",Adzuna::API::Response::Location,Travel Jobs,Adzuna::API::Response::Category,travel-jobs,Uber,Adzuna::API::Response::Company,,
29415.39,-89.178765,"Earn at least $1605 driving with Uber when you complete your first 128 trips in 30 days. Why Uber? Driving is an easy way to boost your income while maintaining the flexibility your schedule requires (gig, part-time, full-time, seasonal, hourly, or temporary). What you need to know: Signup in seconds: Get started today and we’ll provide support along the way. Get paid fast: Cash out up to 5X a day with Uber’s Instant Pay. Guaranteed earnings: Earnings guaranteed for your first 128 trips with Ub…",https://www.adzuna.com/details/5683177345?utm_medium=api&utm_source=abfa41a4,2026-03-30T10:13:56Z,Adzuna::API::Response::Job,5683177345,35.05261,1,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiVkZpQjFVWXM4UkdSN2NfMHU5c3VKdyIsImkiOiI1NjgzMTc3MzQ1In0.xu1OR89QC4h0ahU0cMznxz3qRugD1XbY_4fYQnOlXwE,29415.39,Drive with Uber: Earn at least $1605 when you complete 128 trips.,"Grand Junction, Hardeman County","['US', 'Tennessee', 'Hardeman County', 'Grand Junction']",Adzuna::API::Response::Location,Travel Jobs,Adzuna::API::Response::Category,travel-jobs,Uber,Adzuna::API::Response::Company,,
39994.25,-90.780748,"What is Uber? Driving with Uber is an alternative to a part-time or full-time job and can get you earning cash on the road quickly. Driving with Uber allows you to earn quick cash while maintaining the flexibility your schedule requires (gig, part-time, full-time, seasonal, hourly, or temporary) Why Drive With Uber?: Receive your earnings fast: With Uber, you can cash out your earnings up to 5 times a day with Instant Pay. You are your own boss: You decide how much or little you want to drive a…",https://www.adzuna.com/details/5683177347?utm_medium=api&utm_source=abfa41a4,2026-03-30T10:13:56Z,Adzuna::API::Response::Job,5683177347,34.890531,1,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY4MzE3NzM0NyIsInMiOiJWRmlCMVVZczhSR1I3Y18wdTlzdUp3In0.V6BfI9Cn4Lz__Vhux8untU3mA1PcjfRQTNTXFAZg9D8,39994.25,Driver,"Forrest City, Saint Francis County","['US', 'Arkansas', 'Saint Francis County', 'Forrest City']",Adzuna::API::Response::Location,Travel Jobs,Adzuna::API::Response::Category,travel-jobs,Uber,Adzuna::API::Response::Company,,
237614.89,-96.798344,"Join Our Team at Walgreens as a Pharmacist! Why Walgreens – For You, For Your Family, For Your Future At Walgreens, pharmacists are medication experts and trusted healthcare providers reshaping the future of patient-focused care. With industry-leading resources, career advancement opportunities, and a strong commitment to work-life balance, we invest in you so you can invest in your patients. For You – Competitive Pay & Flexible Scheduling Competitive pay – Competitive wage offered based on geo…",https://www.adzuna.com/land/ad/5683177351?se=VFiB1UYs8RGR7c_0u9suJw&utm_medium=api&utm_source=abfa41a4&v=FF6C439C86C0BEB19E22785E28D06DB6F41DF7B0,2026-03-30T10:13:56Z,Adzuna::API::Response::Job,5683177351,32.786999,1,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiVkZpQjFVWXM4UkdSN2NfMHU5c3VKdyIsImkiOiI1NjgzMTc3MzUxIn0.lo9wjeT69JCd0QFykBO7NrQKswYeoYO7pwQKqdJXkc0,237614.89,Pharmacist,"Highland Park, Dallas","['US', 'Texas', 'Dallas', 'Highland Park']",Adzuna::API::Response::Location,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,healthcare-nursing-jobs,WALGREENS,Adzuna::API::Response::Company,,
37866.91,-89.90405,"Earn at least $1605 driving with Uber when you complete your first 128 trips in 30 days. Why Uber? Driving is an easy way to boost your income while maintaining the flexibility your schedule requires (gig, part-time, full-time, seasonal, hourly, or temporary). What you need to know: Signup in seconds: Get started today and we’ll provide support along the way. Get paid fast: Cash out up to 5X a day with Uber’s Instant Pay. Guaranteed earnings: Earnings guaranteed for your first 128 trips with Ub…",https://www.adzuna.com/details/5683177342?utm_medium=api&utm_source=abfa41a4,2026-03-30T10:13:55Z,Adzuna::API::Response::Job,5683177342,35.115759,1,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiVkZpQjFVWXM4UkdSN2NfMHU5c3VKdyIsImkiOiI1NjgzMTc3MzQyIn0.-vsFgRGWCNKKE4eFD4FiDAhxsQnApONm94jGajTQ7Ig,37866.91,"Side gig: Earn at least $1605 in your first 128 trips driving, guaranteed.","Hickory Hill, Shelby County","['US', 'Tennessee', 'Shelby County', 'Hickory Hill']",Adzuna::API::Response::Location,Travel Jobs,Adzuna::API::Response::Category,travel-jobs,Uber,Adzuna::API::Response::Company,,
214496.9,-104.969836,"Speech Language Pathologist Clinical Fellow (CF-SLP) Pediatric Home Health Now Hiring in Colorado Meet Us Virtually! Care Options for Kids is hosting an upcoming virtual hiring event for Therapy professionals in Colorado. Connect 1:1 with our team, learn about caseloads and flexibility, and interview live right from home. https://app.brazenconnect.com/events/PDebL?utm_medium=SponsoredJobs&utm_source=RadancyPJ Territory: Thornton Pay: $84,500-$90,000/ year Sign-On Bonus Opportunity! Eligible can…",https://www.adzuna.com/land/ad/5683177338?se=VFiB1UYs8RGR7c_0u9suJw&utm_medium=api&utm_source=abfa41a4&v=1ECE2D910B54734B83832F2BCE4774C87EBC1AB4,2026-03-30T10:13:54Z,Adzuna::API::Response::Job,5683177338,39.731696,1,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiVkZpQjFVWXM4UkdSN2NfMHU5c3VKdyIsImkiOiI1NjgzMTc3MzM4In0.I469b5ExDY_lPjjycu-4D0xVirMLi6g6maHUKKIdDzc,214496.9,"Speech Language Pathologist - Clinical Fellow (CF)-Up to $3,000 Sign On Bonus","Glendale, Denver","['US', 'Colorado', 'Denver', 'Glendale']",Adzuna::API::Response::Location,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,healthcare-nursing-jobs,Care Options for Kids,Adzuna::API::Response::Company,,
44102.72,-89.92536,"What is Uber? Driving with Uber is an alternative to a part-time or full-time job and can get you earning cash on the road quickly. Driving with Uber allows you to earn quick cash while maintaining the flexibility your schedule requires (gig, part-time, full-time, seasonal, hourly, or temporary) Why Drive With Uber?: Receive your earnings fast: With Uber, you can cash out your earnings up to 5 times a day with Instant Pay. You are your own boss: You decide how much or little you want to drive a…",https://www.adzuna.com/details/5683177337?utm_medium=api&utm_source=abfa41a4,2026-03-30T10:13:54Z,Adzuna::API::Response::Job,5683177337,35.19186,1,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiVkZpQjFVWXM4UkdSN2NfMHU5c3VKdyIsImkiOiI1NjgzMTc3MzM3In0.Qe3Me_5f8rSHOkQ_w37NWJYad_NfvZ5FzU1BUXIS1X4,44102.72,Flexible Gig - Drive with Uber,"Woodstock, Shelby County","['US', 'Tennessee', 'Shelby County', 'Woodstock']",Adzuna::API::Response::Location,Travel Jobs,Adzuna::API::Response::Category,travel-jobs,Uber,Adzuna::API::Response::Company,,
32031.21,-89.980711,"What is Uber? Driving with Uber is an alternative to a part-time or full-time job and can get you earning cash on the road quickly. Driving with Uber allows you to earn quick cash while maintaining the flexibility your schedule requires (gig, part-time, full-time, seasonal, hourly, or temporary) Why Drive With Uber?: Receive your earnings fast: With Uber, you can cash out your earnings up to 5 times a day with Instant Pay. You are your own boss: You decide how much or little you want to drive a…",https://www.adzuna.com/details/5683177339?utm_medium=api&utm_source=abfa41a4,2026-03-30T10:13:54Z,Adzuna::API::Response::Job,5683177339,35.104587,1,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY4MzE3NzMzOSIsInMiOiJWRmlCMVVZczhSR1I3Y18wdTlzdUp3In0.le46GpCVpOID325X-wxZ_iU9ZSMvqVwhePCV2SNyhOs,32031.21,Earn Cash - Drive with Uber,"Cloverdale, Shelby County","['US', 'Tennessee', 'Shelby County', 'Cloverdale']",Adzuna::API::Response::Location,Travel Jobs,Adzuna::API::Response::Category,travel-jobs,Uber,Adzuna::API::Response::Company,,
51475.57,-90.0244,"What is Uber? Driving with Uber is an alternative to a part-time or full-time job and can get you earning cash on the road quickly. Driving with Uber allows you to earn quick cash while maintaining the flexibility your schedule requires (gig, part-time, full-time, seasonal, hourly, or temporary) Why Drive With Uber?: Receive your earnings fast: With Uber, you can cash out your earnings up to 5 times a day with Instant Pay. You are your own boss: You decide how much or little you want to drive a…",https://www.adzuna.com/details/5683177334?utm_medium=api&utm_source=abfa41a4,2026-03-30T10:13:53Z,Adzuna::API::Response::Job,5683177334,35.1695,1,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY4MzE3NzMzNCIsInMiOiJWRmlCMVVZczhSR1I3Y18wdTlzdUp3In0.hmy3DxzaXVEGoY9OZseI3pRSVhnxz2tjGoGWBcBRoxU,51475.57,Driver gig - Earn on your schedule,"Memphis, DeSoto County","['US', 'Mississippi', 'DeSoto County', 'Memphis']",Adzuna::API::Response::Location,Travel Jobs,Adzuna::API::Response::Category,travel-jobs,Uber,Adzuna::API::Response::Company,,
35046.39,-89.821707,"Earn at least $1605 driving with Uber when you complete your first 128 trips in 30 days. Why Uber? Driving is an easy way to boost your income while maintaining the flexibility your schedule requires (gig, part-time, full-time, seasonal, hourly, or temporary). What you need to know: Signup in seconds: Get started today and we’ll provide support along the way. Get paid fast: Cash out up to 5X a day with Uber’s Instant Pay. Guaranteed earnings: Earnings guaranteed for your first 128 trips with Ub…",https://www.adzuna.com/details/5683177332?utm_medium=api&utm_source=abfa41a4,2026-03-30T10:13:53Z,Adzuna::API::Response::Job,5683177332,35.238665,1,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY4MzE3NzMzMiIsInMiOiJWRmlCMVVZczhSR1I3Y18wdTlzdUp3In0.9E5hWDAn8s3awicVHniXQlcOT4gwanoaQ_2a9Q3qznw,35046.39,"Part-time gig: Earn at least $1605 for your first 128 trips, guaranteed.","Bartlett, Shelby County","['US', 'Tennessee', 'Shelby County', 'Bartlett']",Adzuna::API::Response::Location,Part time Jobs,Adzuna::API::Response::Category,part-time-jobs,Uber,Adzuna::API::Response::Company,,
