description,created,__CLASS__,id,salary_is_predicted,title,latitude,salary_max,adref,redirect_url,salary_min,longitude,location.area,location.display_name,location.__CLASS__,company.display_name,company.__CLASS__,category.tag,category.__CLASS__,category.label,contract_time,contract_type
"Job Summary As an AI Enablement Vice President, you will lead programs and initiatives within the CCB Risk AI portfolio by partnering with stakeholders to understand business workflows, ideate and prioritize solutions, build roadmaps, and drive delivery. You will serve as the connective thread across teams as solutions move from concept to delivery. Job Responsibilities Build strong relationships with partners across the organization; learn how teams work today and where the biggest pain points…",2026-09-08T13:02:47Z,Adzuna::API::Response::Job,5875785945,1,CCB Risk AI-Enablement Vice President,40.103832,165888.89,eyJhbGciOiJIUzI1NiJ9.eyJzIjoib090WXhLaXI4UkdsWGIzWUtCeXc5USIsImkiOiI1ODc1Nzg1OTQ1In0.FvKn9qLu-778eXKviN1PMXCYt7QfmH7RhQUTHHUd-jI,https://www.adzuna.com/details/5875785945?utm_medium=api&utm_source=abfa41a4,165888.89,-83.020025,"['US', 'Ohio', 'Franklin County', 'Columbus']","Columbus, Franklin County",Adzuna::API::Response::Location,JPMorgan Chase & Co.,Adzuna::API::Response::Company,it-jobs,Adzuna::API::Response::Category,IT Jobs,,
"HCS 247 is seeking a travel nurse RN ED - Emergency Department for a travel nursing job in Leominster, Massachusetts. Job Description & Requirements Specialty: ED - Emergency Department Discipline: RN Start Date: 10/05/2026 Duration: 13 weeks 36 hours per week Shift: 12 hours, nights Employment Type: Travel Aggressive Compensation Packages Lodging Per-Diem for those who qualify Meals and Incidentals Allowance for those who qualify Travel Expense Allowance for those who qualify Medical Dental an…",2026-09-08T13:01:49Z,Adzuna::API::Response::Job,5875785940,0,"Travel Nurse RN - ED - Emergency Department - $2,533 per week",42.527481,131716.0,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg3NTc4NTk0MCIsInMiOiJvT3RZeEtpcjhSR2xYYjNZS0J5dzlRIn0._t2RCUAUPjVtskP6RE7dNInJXlbxAJWXotlV5aa1P4o,https://www.adzuna.com/land/ad/5875785940?se=oOtYxKir8RGlXb3YKByw9Q&utm_medium=api&utm_source=abfa41a4&v=524F34CA063B24C595EE570859DD5C8625E478A4,0.0,-71.756093,"['US', 'Massachusetts', 'Worcester County', 'Leominster']","Leominster, Worcester County",Adzuna::API::Response::Location,HCS 247,Adzuna::API::Response::Company,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,,
"GHG Healthcare is seeking a travel CT Technologist for a travel job in Charlotte, North Carolina. Job Description & Requirements Specialty: CT Technologist Discipline: Allied Health Professional Start Date: 09/21/2026 Duration: 20 weeks 36 hours per week Shift: 12 hours, nights Employment Type: Travel Estimated Gross Weekly Pay: $ 2373.04 Opportunity: CT Tech Job Details: • 12-hour night shifts from 7:45 PM to 8:15 AM • Weekend schedule: Friday, Saturday, and Sunday only • No weekend RTO permit…",2026-09-08T13:01:48Z,Adzuna::API::Response::Job,5875785931,0,"Travel CT Technologist - $2,373 per week",35.2268,123396.0,eyJhbGciOiJIUzI1NiJ9.eyJzIjoib090WXhLaXI4UkdsWGIzWUtCeXc5USIsImkiOiI1ODc1Nzg1OTMxIn0.MdvVzCLdlX3VzD-UKqwQlqMTzAS3bis4tVo01ZGCLxM,https://www.adzuna.com/land/ad/5875785931?se=oOtYxKir8RGlXb3YKByw9Q&utm_medium=api&utm_source=abfa41a4&v=631975790CAE92AB348672DDE8BE4D4E4DA92E37,0.0,-80.8432,"['US', 'North Carolina', 'Mecklenburg County', 'Charlotte']","Charlotte, Mecklenburg County",Adzuna::API::Response::Location,GHG Healthcare,Adzuna::API::Response::Company,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,,
"American Traveler is seeking a travel Occupational Therapist for a travel job in Wichita, Kansas. Job Description & Requirements Specialty: Occupational Therapist Discipline: Therapy Start Date: 11/01/2026 Duration: 13 weeks 40 hours per week Shift: 8 hours, days Employment Type: Travel Assignment Overview Shift: Days, 5x8hrs Hours: 40 hrs/wk Start Date: Nov 1, 2026 Length: 13 weeks Openings: 1 Description American Traveler is hiring an Occupational Therapist with 2 years of experience for a 13…",2026-09-08T13:01:48Z,Adzuna::API::Response::Job,5875785932,0,"Travel Occupational Therapist - $2,366 per week",37.640644,123032.0,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg3NTc4NTkzMiIsInMiOiJvT3RZeEtpcjhSR2xYYjNZS0J5dzlRIn0.1vw_EaiMeMQaeR-Fue1r9uO13WXFu_xcIIlaMAq6BS0,https://www.adzuna.com/land/ad/5875785932?se=oOtYxKir8RGlXb3YKByw9Q&utm_medium=api&utm_source=abfa41a4&v=5EFB3514CCC54E9A65283D66FB265FEC93DEE67B,0.0,-97.166562,"['US', 'Kansas', 'Butler County', 'Andover']","Andover, Butler County",Adzuna::API::Response::Location,American Traveler,Adzuna::API::Response::Company,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,,
"LanceSoft is seeking a travel nurse RN Med Surg / Telemetry for a travel nursing job in Bel Air, Maryland. Job Description & Requirements Specialty: Med Surg / Telemetry Discipline: RN Start Date: 09/28/2026 Duration: 20 weeks 36 hours per week Shift: 12 hours, nights Employment Type: Travel LanceSoft Job ID j97223zz87w835p5av81k87dmn8e1hef. Pay package is based on 12 hour shifts and 36 hours per week (subject to confirmation) with tax-free stipend amount to be determined. Posted job title: RN …",2026-09-08T13:01:48Z,Adzuna::API::Response::Job,5875785929,0,"Travel Nurse RN - Med Surg / Telemetry - $2,400 per week",39.5373,124800.0,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg3NTc4NTkyOSIsInMiOiJvT3RZeEtpcjhSR2xYYjNZS0J5dzlRIn0.3ssmYR6SaAXiLv1_ms-3cHR6VpWOpy1HfTT12lGjokg,https://www.adzuna.com/land/ad/5875785929?se=oOtYxKir8RGlXb3YKByw9Q&utm_medium=api&utm_source=abfa41a4&v=5989770DE7B24083A40B7736AD2AF06CD8CED859,0.0,-76.3558,"['US', 'Maryland', 'Harford County', 'Bel Air']","Bel Air, Harford County",Adzuna::API::Response::Location,LanceSoft,Adzuna::API::Response::Company,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,,
"Medical Solutions LTC is seeking a local contract nurse RN Long Term Acute Care for a local contract nursing job in Springfield, Missouri. Job Description & Requirements Specialty: Long Term Acute Care Discipline: RN Duration: 13 weeks 36 hours per week Shift: 12 hours, days Employment Type: Local Contract We’re seeking talented healthcare professionals whose adventure game is as strong as their clinical game. Those that want flexibility and high pay, we have the positions for you! Some of the …",2026-09-08T13:01:48Z,Adzuna::API::Response::Job,5875785937,0,Local Contract Nurse RN - Long Term Acute Care - $43-50 per hour,37.196044,104000.0,eyJhbGciOiJIUzI1NiJ9.eyJzIjoib090WXhLaXI4UkdsWGIzWUtCeXc5USIsImkiOiI1ODc1Nzg1OTM3In0.C5_rTRdJJcSG09MzBqWZ1N4kLj0nW-pZKkhyAB4ddFk,https://www.adzuna.com/land/ad/5875785937?se=oOtYxKir8RGlXb3YKByw9Q&utm_medium=api&utm_source=abfa41a4&v=F34325273F64AAB0D226758B4ED34122949D0338,89440.0,-93.28257,"['US', 'Missouri', 'Greene County', 'Springfield']","Springfield, Greene County",Adzuna::API::Response::Location,Medical Solutions LTC,Adzuna::API::Response::Company,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,,
"LanceSoft is seeking a travel nurse RN Endoscopy for a travel nursing job in Orangeburg, South Carolina. Job Description & Requirements Specialty: Endoscopy Discipline: RN Start Date: 10/06/2026 Duration: 13 weeks 40 hours per week Shift: 8 hours, days Employment Type: Travel LanceSoft Job ID j97dzkqkv4ff3p6h8fkdfvxd358e1xq5. Pay package is based on 8 hour shifts and 40 hours per week (subject to confirmation) with tax-free stipend amount to be determined. Posted job title: RN Endoscopy About L…",2026-09-08T13:01:48Z,Adzuna::API::Response::Job,5875785939,0,"Travel Nurse RN - Endoscopy - $2,000 per week",33.49846,104000.0,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTg3NTc4NTkzOSIsInMiOiJvT3RZeEtpcjhSR2xYYjNZS0J5dzlRIn0.eCBp2RJMzbuqPzPd7d5AOOz0cOXDl2Nb1pHdYAB7-Ns,https://www.adzuna.com/land/ad/5875785939?se=oOtYxKir8RGlXb3YKByw9Q&utm_medium=api&utm_source=abfa41a4&v=195E40CE9630914FE2D600ABD9725684AB3964D9,0.0,-80.84702,"['US', 'South Carolina', 'Orangeburg County', 'Pecan Way Terrace']","Pecan Way Terrace, Orangeburg County",Adzuna::API::Response::Location,LanceSoft,Adzuna::API::Response::Company,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,,
"GHR Healthcare is seeking a local contract nurse RN Ambulatory Care for a local contract nursing job in Philadelphia, Pennsylvania. Job Description & Requirements Specialty: Ambulatory Care Discipline: RN Start Date: 10/05/2026 Duration: 13 weeks 40 hours per week Shift: 8 hours, days Employment Type: Local Contract Ambulatory Care RN Philadelphia, PA Day Shift - 5x8s Temp to Perm *Surgical nursing, cardiology/telemetry background preferred 10/5 start About GHR Healthcare For over 30 years, GHR…",2026-09-08T13:01:48Z,Adzuna::API::Response::Job,5875785938,0,Local Contract Nurse RN - Ambulatory Care - $38-40 per hour,40.0758,83200.0,eyJhbGciOiJIUzI1NiJ9.eyJzIjoib090WXhLaXI4UkdsWGIzWUtCeXc5USIsImkiOiI1ODc1Nzg1OTM4In0.BxRGqeB582ZZWEQ6p0ud-ksSwA7PcKeirV4ZN99IqK0,https://www.adzuna.com/land/ad/5875785938?se=oOtYxKir8RGlXb3YKByw9Q&utm_medium=api&utm_source=abfa41a4&v=286FD31A1D24992E5F1D91CE11AC9CEDD47A6B4D,79040.0,-75.1277,"['US', 'Pennsylvania', 'Montgomery County', 'Elkins Park']","Elkins Park, Montgomery County",Adzuna::API::Response::Location,GHR Healthcare,Adzuna::API::Response::Company,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,,
"Synergy Medical Staffing is seeking a travel nurse RN PCU - Progressive Care Unit for a travel nursing job in Jacksonville, Florida. Job Description & Requirements Specialty: PCU - Progressive Care Unit Discipline: RN Start Date: 10/04/2026 Duration: 13 weeks 36 hours per week Shift: 12 hours, nights Employment Type: Travel Travel, RN - PCU Location: Jacksonville, Florida Shift: 3X12 Nights, 19:00:00-07:00:00, 12.00-3 Duration 13 Weeks When you join Synergy Medical Staffing, you’ll have a dedic…",2026-09-08T13:01:48Z,Adzuna::API::Response::Job,5875785933,0,"Travel PCU RN - $1,750 per week",30.3073,91000.0,eyJhbGciOiJIUzI1NiJ9.eyJzIjoib090WXhLaXI4UkdsWGIzWUtCeXc5USIsImkiOiI1ODc1Nzg1OTMzIn0.mE9BxFrNUlTRVUDFR0Ya6HlRKaFTQGgqX0gBR-bf378,https://www.adzuna.com/land/ad/5875785933?se=oOtYxKir8RGlXb3YKByw9Q&utm_medium=api&utm_source=abfa41a4&v=1397A3082DA4C031E2E5AB3D9EE7395E42766952,0.0,-81.6331,"['US', 'Florida', 'Duval County', 'Jacksonville']","Jacksonville, Duval County",Adzuna::API::Response::Location,Synergy Medical Staffing,Adzuna::API::Response::Company,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,,
"American Traveler is seeking a travel nurse RN Labor and Delivery for a travel nursing job in New Orleans, Louisiana. Job Description & Requirements Specialty: Labor and Delivery Discipline: RN Start Date: 10/05/2026 Duration: 13 weeks 36 hours per week Shift: 12 hours, nights Employment Type: Travel Assignment Overview Shift: Nights, 3x12hrs Hours: 36 hrs/wk Start Date: Oct 5, 2026 Length: 13 weeks Openings: 2 Description American Traveler is hiring an experienced RN for a Labor & Delivery pos…",2026-09-08T13:01:48Z,Adzuna::API::Response::Job,5875785930,0,"Travel Labor & Delivery RN - $2,379 per week",29.95056,123708.0,eyJhbGciOiJIUzI1NiJ9.eyJzIjoib090WXhLaXI4UkdsWGIzWUtCeXc5USIsImkiOiI1ODc1Nzg1OTMwIn0.iSw-JqBhV85XMwB_CjzqolVJnsW-BtQt8loNsnLZfHc,https://www.adzuna.com/land/ad/5875785930?se=oOtYxKir8RGlXb3YKByw9Q&utm_medium=api&utm_source=abfa41a4&v=98A85D19E9109AFA1733A4ED93D2CE299D20FDA9,0.0,-90.20634,"['US', 'Louisiana', 'Jefferson Parish', 'Harahan']","Harahan, Jefferson Parish",Adzuna::API::Response::Location,American Traveler,Adzuna::API::Response::Company,healthcare-nursing-jobs,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,,
