description,created,salary_min,redirect_url,longitude,salary_max,adref,salary_is_predicted,__CLASS__,latitude,title,id,category.label,category.tag,category.__CLASS__,company.__CLASS__,company.display_name,location.area,location.display_name,location.__CLASS__,contract_time,contract_type
"Job Description: Gather psychosocial information to participate in the development and implementation of a plan of care that provides extraordinary care for the patient while being sensitive to costs and resources. Work collaboratively with patients, patients' family/significant other, healthcare providers, insurers, community resources, and other involved parties. The SSW will execute these duties under direct clinical supervision. Job Specifics Pay Range: $29.14 - $44.94 Exempt Benefits Eligi…",2026-04-09T10:50:37Z,94574.92,https://www.adzuna.com/land/ad/5694595877?se=MGF-lSQ08RGPyaX1Fj_fyg&utm_medium=api&utm_source=abfa41a4&v=414B825ACB1F13CF7F258237E9F7A9F5BADE3CDF,-111.855774,94574.92,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY5NDU5NTg3NyIsInMiOiJNR0YtbFNRMDhSR1B5YVgxRmpfZnlnIn0.ykP7C-gv6_EyjBor-184Ia9b8Vtk7HxrOIkDZgj4iy8,1,Adzuna::API::Response::Job,40.565795,Social Service Worker,5694595877,Healthcare & Nursing Jobs,healthcare-nursing-jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Company,Intermountain Health,"['US', 'Utah', 'Salt Lake County', 'Belmont Heights']","Belmont Heights, Salt Lake County",Adzuna::API::Response::Location,,
Role: Twilio Product Owner Location: Remote Duration: 6-12 Months Domain: Healthcare Whats Needed: Contact Center  IVR  Messaging  Inbound  Outbound experience is needed. Skills needed Seasoned PO with 5 years of experience as Technical PO Must have skills DB knowledge with hands on SQL skills to handle complex needs Familiar with end-to-end Contact Center reporting Interpersonal skills with the ability to handle demanding stakeholders Ability to convert complex business needs into User Stories…,2026-04-09T10:50:19Z,88079.91,https://www.adzuna.com/details/5694595866?utm_medium=api&utm_source=abfa41a4,,88079.91,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiTUdGLWxTUTA4UkdQeWFYMUZqX2Z5ZyIsImkiOiI1Njk0NTk1ODY2In0.3qAmYF2G0lP6ixqti45RoDDpncaFfh58NLUrLgfZolY,1,Adzuna::API::Response::Job,,Twilio Product Owner,5694595866,IT Jobs,it-jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Company,Softova Inc,['US'],US,Adzuna::API::Response::Location,,
"TECHNOGEN, Inc. is a Proven Leader in providing full IT Services, Software Development and Solutions for 15 years. TECHNOGEN is a Small & Woman Owned Minority Business with GSA Advantage Certification. We have offices in VA; MD & Offshore development centers in India. We have successfully executed 100 projects for clients ranging from small business and non-profits to Fortune 50 companies and federal, state and local agencies. Hi, Greetings of the day! We are looking to Hire a Talented Professi…",2026-04-09T10:50:19Z,112187.5,https://www.adzuna.com/details/5694595855?utm_medium=api&utm_source=abfa41a4,-76.6054,112187.5,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiTUdGLWxTUTA4UkdQeWFYMUZqX2Z5ZyIsImkiOiI1Njk0NTk1ODU1In0.hUCGJWKwusUnBf3UKdxqYaNWqCfB-_4RZQaML6jpLds,1,Adzuna::API::Response::Job,39.291,"Looking for Senior Java Application Architect || Baltimore, MD (100% Onsite)",5694595855,IT Jobs,it-jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Company,"Technogen, Inc.","['US', 'Maryland', 'Baltimore County', 'Baltimore', 'East Case']","East Case, Baltimore",Adzuna::API::Response::Location,,
"Job Title: Expert AI Developer Location: New York, NY Build agents/components that reason, plan and act. Implement frameworks, develop memory and tool-use capabilities, collaborate with prompt engineers Excellent in Python, Good understanding of Azure cloud stack, good understaning of embeddings, vector databases, RAG",2026-04-09T10:50:19Z,106982.9,https://www.adzuna.com/details/5694595872?utm_medium=api&utm_source=abfa41a4,-73.97528,106982.9,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY5NDU5NTg3MiIsInMiOiJNR0YtbFNRMDhSR1B5YVgxRmpfZnlnIn0.LVNK_5kvAjf87xVVOtezTQYSstY8_LuydYywMFoqrks,1,Adzuna::API::Response::Job,40.75284,Expert AI Developer,5694595872,IT Jobs,it-jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Company,"AIT Global, Inc.","['US', 'New York', 'New York City', 'Manhattan', 'Grand Central']","Grand Central, Manhattan",Adzuna::API::Response::Location,,
"Job Title: Desktop support /Field Service support Duration: 6 months Location: Chandler AZ 85226 or Boise, ID 83702 or Nampa, ID 83687 or Tualatin, OR 97062 Note: Should have a car of your own Seeking a skilled Support technician with expertise in both field and depot repair services. This role also encompasses providing advanced remote End-User Computing (EUC) support. You will be responsible for complex troubleshooting, hardware/software repair, and ensuring high levels of technical support a…",2026-04-09T10:50:19Z,71711.72,https://www.adzuna.com/details/5694595863?utm_medium=api&utm_source=abfa41a4,-116.536835,71711.72,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY5NDU5NTg2MyIsInMiOiJNR0YtbFNRMDhSR1B5YVgxRmpfZnlnIn0.QXecM_UR9eHJz0qxmjBZhbdWpto6WOfWjMKUPrdE-0I,1,Adzuna::API::Response::Job,43.595567,Desktop support,5694595863,IT Jobs,it-jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Company,Kodeva LLC,"['US', 'Idaho', 'Canyon County', 'Nampa']","Nampa, Canyon County",Adzuna::API::Response::Location,,
"""We’re looking for a Senior UI Engineer to design, build, and scale secure, responsive, and high availability web applications for our Banking and Financial Services clients across the US and LATAM. You’ll lead feature delivery end to end—front-end (React JS) and back-end (Node.js with Express/NestJS)—with a strong emphasis on performance, security, compliance, and reliability. What You’ll Do • Architecture & Delivery o Design and implement scalable microservices and component-driven UIs using …",2026-04-09T10:50:19Z,131828.88,https://www.adzuna.com/details/5694595864?utm_medium=api&utm_source=abfa41a4,-112.0772,131828.88,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY5NDU5NTg2NCIsInMiOiJNR0YtbFNRMDhSR1B5YVgxRmpfZnlnIn0.l-Fj2tODkj-FHgdskXn3tpwqb95tLQeQ8AvV0WlweBc,1,Adzuna::API::Response::Job,33.449188,UI Developer,5694595864,IT Jobs,it-jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Company,Rapsys Technologies,"['US', 'Arizona', 'Maricopa County', 'Phoenix']","Phoenix, Maricopa County",Adzuna::API::Response::Location,,
"Role: Senior Robotics Data Engineer Location: Warren, MI (Onsite from Day 1) Job Type: W2 Contract Main Skills: Senior Robotics Data Engineer (ML/AI systems, Python, TensorFlow and/or PyTorch, Power BI, Azure data services) Key Responsibilities: Design and implement scalable data pipelines for large-scale robotic datasets (vision, depth, tactile, force/torque). Build infrastructure for high-throughput data capture from real robots and simulation environments. Develop and deploy semi-supervised/…",2026-04-09T10:50:19Z,253202.31,https://www.adzuna.com/details/5694595858?utm_medium=api&utm_source=abfa41a4,-83.058447,253202.31,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY5NDU5NTg1OCIsInMiOiJNR0YtbFNRMDhSR1B5YVgxRmpfZnlnIn0.KL-vl1lnLGFNXdm5XUx0eJJpfYqU7onNj9teyM_8TFY,1,Adzuna::API::Response::Job,42.467501,Senior Robotics Data Engineer - Only W2,5694595858,IT Jobs,it-jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Company,Info Dinamica Inc,"['US', 'Michigan', 'Macomb County', 'Center Line']","Center Line, Macomb County",Adzuna::API::Response::Location,,
"Job Title: SAP FPSL Consultant Location: Dallas Experience: 8–12 Years Mandatory Skills SAP Skills 8–12 years of overall SAP experience Minimum 4 years of SAP FPSL hands-on experience SAP S/4HANA Finance SAP FICO (GL, AA) FPSL Accounting Framework SAP PaPM or SAP Risk (preferred) Functional Expertise Strong accounting knowledge: IFRS 9 / IFRS 17 / LDTI Financial instruments & insurance products Financial valuation Cash flow modeling Risk-adjusted accounting Experience in Banking / Insurance / F…",2026-04-09T10:50:19Z,135122.78,https://www.adzuna.com/details/5694595859?utm_medium=api&utm_source=abfa41a4,-96.765058,135122.78,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTY5NDU5NTg1OSIsInMiOiJNR0YtbFNRMDhSR1B5YVgxRmpfZnlnIn0.N97fOiwqnmhjNVi_QSSz7uq6xML9G0maTV7lwkH9aW8,1,Adzuna::API::Response::Job,32.760168,SAP FPSL,5694595859,IT Jobs,it-jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Company,Cloud Data Vision LLC,"['US', 'Texas', 'Dallas', 'Highland Park']","Highland Park, Dallas",Adzuna::API::Response::Location,,
"Job Title: Senior Cyber Security Analyst – Governance (Disaster Recovery) Duration 6 month Location: Fridley, Minnesota (Remote – Onsite Preferred) Job Summary (Short Version) We are seeking a Senior Cyber Security Analyst – Governance (Disaster Recovery) to oversee and govern enterprise disaster recovery (DR) processes. This role ensures critical systems are resilient, recoverable, and aligned with industry standards like ISO 22301 and NIST SP 800-34. The ideal candidate will have strong exper…",2026-04-09T10:50:19Z,167263.66,https://www.adzuna.com/details/5694595865?utm_medium=api&utm_source=abfa41a4,,167263.66,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiTUdGLWxTUTA4UkdQeWFYMUZqX2Z5ZyIsImkiOiI1Njk0NTk1ODY1In0.e6Cucd-0teXQddQiKyp7uY1AMcnVgBmekQ1sOxzncBI,1,Adzuna::API::Response::Job,,Senior Cyber Security Analyst – Governance (Disaster Recovery),5694595865,IT Jobs,it-jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Company,Talent Glide,['US'],US,Adzuna::API::Response::Location,,
"Title: Endpoint Platform Engineer (IGEL / Workspace ONE / Linux) Client: World Wide Technology (WWT) / JPMC Location: Jersey City, NJ (5 days onsite) Contract Duration: 12 months Seeking an Endpoint Platform Engineer to join our Strategic Resourcing practice supporting a large enterprise financial services customer. This role offers the opportunity to work within a highly secure, large-scale environment focused on endpoint platform stability and performance. You will play a key role in supporti…",2026-04-09T10:50:19Z,108436.68,https://www.adzuna.com/details/5694595871?utm_medium=api&utm_source=abfa41a4,-74.0784,108436.68,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiTUdGLWxTUTA4UkdQeWFYMUZqX2Z5ZyIsImkiOiI1Njk0NTk1ODcxIn0.33dUV-g53i90C7f0KTus-ozXU8VlgTxmdM-sp3dB5D8,1,Adzuna::API::Response::Job,40.7282,Endpoint Platform Engineer,5694595871,IT Jobs,it-jobs,Adzuna::API::Response::Category,Adzuna::API::Response::Company,Sriven Systems Inc.,"['US', 'New Jersey', 'Hudson County', 'Five Corners']","Five Corners, Hudson County",Adzuna::API::Response::Location,,
