contract_type,description,created,latitude,redirect_url,title,salary_min,longitude,__CLASS__,salary_max,salary_is_predicted,contract_time,id,adref,location.area,location.__CLASS__,location.display_name,company.display_name,company.__CLASS__,category.label,category.__CLASS__,category.tag
contract,"Registered Nurse (RN) | Long-Term Acute Care Location: Memphis, TN Agency: LRS Healthcare Pay: $1,761 to $1,952 per week Shift Information: Nights Contract Duration: 13 Weeks Start Date: ASAP About the Position Ready to start your next travel adventure? LRS Healthcare offers a full benefits package, 24/7 support, and a responsive, traveler-first culture. What are you waiting for? Apply today! Qualifications: 2 year of recent experience in area of specialty preferred Valid license and/or certifi…",2026-04-24T10:47:14Z,35.154363,https://www.adzuna.com/land/ad/5709416062?se=ylu3lOw_8RG60p_fUSdYlA&utm_medium=api&utm_source=abfa41a4&v=DD69862DC35E07431F805525F3C49B6B41FE02C4,"Travel Nurse RN - Long-Term Acute Care - $1,761 to $1,952 per week in Memphis, TN",7808.0,-90.060664,Adzuna::API::Response::Job,7808.0,0,full_time,5709416062,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcwOTQxNjA2MiIsInMiOiJ5bHUzbE93XzhSRzYwcF9mVVNkWWxBIn0.GmIwEHjINQg3GjdzlYcO0dwMX6h8skOIc5WmI_AR04U,"['US', 'Tennessee', 'Shelby County', 'Memphis']",Adzuna::API::Response::Location,"Memphis, Shelby County",LRS Healthcare,Adzuna::API::Response::Company,Healthcare & Nursing Jobs,Adzuna::API::Response::Category,healthcare-nursing-jobs
,"REQUIRED: MUST HAVE A VALID CA DRIVERS LICENSE WITH GOOD DRIVING RECORD AND ABLE TO DRIVE THE COMPANY VEHICLE. ALSO CLEAR BACKGROUND TO BE ABLE TO OBTAIN AND HOLD BADGE FOR COUNTY OF LOS ANGELES. Periodic advanced floor care duties to include stripping, dressing, buffing and waxing of hard floors, carpet extraction and shampooing, and terrazzo maintenance, and other projects as assigned. Will use cleaning equipment, such as buffers, auto scrubbers and other floor machines, tools, products, and …",2026-04-24T10:46:32Z,,https://www.adzuna.com/details/5709415698?utm_medium=api&utm_source=abfa41a4,Floorcare Technician,30124.42,,Adzuna::API::Response::Job,30124.42,1,,5709415698,eyJhbGciOiJIUzI1NiJ9.eyJzIjoieWx1M2xPd184Ukc2MHBfZlVTZFlsQSIsImkiOiI1NzA5NDE1Njk4In0.gT0Gb1vh4Qh-Lyol9E6kKmhJN3PxlGrcSI55H5HCXtQ,"['US', 'California', 'Los Angeles County', 'Los Angeles']",Adzuna::API::Response::Location,"Los Angeles, Los Angeles County",Dedicated Building Services,Adzuna::API::Response::Company,Domestic help & Cleaning Jobs,Adzuna::API::Response::Category,domestic-help-cleaning-jobs
,"Under general supervision, performs a variety of cleaning and custodialduties including daily cleaning and supplying of bathrooms, offices and otherassigned areas in accordance with standard procedures. Uses cleaningdevices such as wet mops, wringers, duster, vacuum cleaner and othernecessary tools, products and supplies. Removes trash to appropriateareas. Dust furniture, walls, machines, and equipment. ESSENTIAL DUTIES AND RESPONSIBILITIES: 1. Empties waste baskets and removes trash. 2. Dusts …",2026-04-24T10:46:31Z,34.694628,https://www.adzuna.com/details/5709415690?utm_medium=api&utm_source=abfa41a4,Janitor,34661.39,-118.147377,Adzuna::API::Response::Job,34661.39,1,,5709415690,eyJhbGciOiJIUzI1NiJ9.eyJzIjoieWx1M2xPd184Ukc2MHBfZlVTZFlsQSIsImkiOiI1NzA5NDE1NjkwIn0.zxTTzqsaP1NV_m_1habxHPlH5Keft6tdTjPoxR2GzEE,"['US', 'California', 'Los Angeles County', 'Lancaster']",Adzuna::API::Response::Location,"Lancaster, Los Angeles County",Dedicated Building Services,Adzuna::API::Response::Company,Domestic help & Cleaning Jobs,Adzuna::API::Response::Category,domestic-help-cleaning-jobs
,"Under general supervision, performs a variety of cleaning and custodialduties including daily cleaning and supplying of bathrooms, offices and otherassigned areas in accordance with standard procedures. Uses cleaningdevices such as wet mops, wringers, duster, vacuum cleaner and othernecessary tools, products and supplies. Removes trash to appropriateareas. Dust furniture, walls, machines, and equipment. ESSENTIAL DUTIES AND RESPONSIBILITIES: 1. Empties waste baskets and removes trash. 2. Dusts …",2026-04-24T10:46:31Z,33.957411,https://www.adzuna.com/details/5709415684?utm_medium=api&utm_source=abfa41a4,Janitor,35073.31,-118.121046,Adzuna::API::Response::Job,35073.31,1,,5709415684,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcwOTQxNTY4NCIsInMiOiJ5bHUzbE93XzhSRzYwcF9mVVNkWWxBIn0.yK4iHLH_x2HCNa_-2BCuvYkHHijKTRfZj-hBmY4M7dk,"['US', 'California', 'Los Angeles County', 'Downey']",Adzuna::API::Response::Location,"Downey, Los Angeles County",Dedicated Building Services,Adzuna::API::Response::Company,Domestic help & Cleaning Jobs,Adzuna::API::Response::Category,domestic-help-cleaning-jobs
,"Under general supervision, performs a variety of cleaning and custodialduties including daily cleaning and supplying of bathrooms, offices and otherassigned areas in accordance with standard procedures. Uses cleaningdevices such as wet mops, wringers, duster, vacuum cleaner and othernecessary tools, products and supplies. Removes trash to appropriateareas. Dust furniture, walls, machines, and equipment. ESSENTIAL DUTIES AND RESPONSIBILITIES: 1. Empties waste baskets and removes trash. 2. Dusts …",2026-04-24T10:46:31Z,34.16588,https://www.adzuna.com/details/5709415689?utm_medium=api&utm_source=abfa41a4,Janitor,34630.1,-118.363726,Adzuna::API::Response::Job,34630.1,1,,5709415689,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcwOTQxNTY4OSIsInMiOiJ5bHUzbE93XzhSRzYwcF9mVVNkWWxBIn0.sCw-OWdCkkw5vPVzM8926L87-kQ9m-BbgRwR9w2H29M,"['US', 'California', 'Los Angeles County', 'North Hollywood']",Adzuna::API::Response::Location,"North Hollywood, Los Angeles County",Dedicated Building Services,Adzuna::API::Response::Company,Domestic help & Cleaning Jobs,Adzuna::API::Response::Category,domestic-help-cleaning-jobs
,"The Party Staff, Inc. is looking to add to our growing roster of Dishwashers in San Jose, CA! We are on the hunt for rockstar dishwashers to join our team at The Party Staff. Our company has been providing top-notch staffing solutions to the hospitality industry for 36 years and we are looking for hardworking and dedicated dishwashing superstars to keep our clients' kitchens shining like a diamond. As a dishwasher at The Party Staff, you will have the opportunity to work in a variety of excitin…",2026-04-24T10:46:31Z,37.390494,https://www.adzuna.com/details/5709415691?utm_medium=api&utm_source=abfa41a4,San Jose - Dishwasher,43242.98,-121.885434,Adzuna::API::Response::Job,43242.98,1,part_time,5709415691,eyJhbGciOiJIUzI1NiJ9.eyJzIjoieWx1M2xPd184Ukc2MHBfZlVTZFlsQSIsImkiOiI1NzA5NDE1NjkxIn0.xNyfY5ldPeZ9MetAtqcam9bwV6dtGyXxBgBEj4IDenM,"['US', 'California', 'Santa Clara County', 'San Jose']",Adzuna::API::Response::Location,"San Jose, Santa Clara County",The Party Staff,Adzuna::API::Response::Company,Hospitality & Catering Jobs,Adzuna::API::Response::Category,hospitality-catering-jobs
,"Under general supervision, performs a variety of cleaning and custodialduties including daily cleaning and supplying of bathrooms, offices and otherassigned areas in accordance with standard procedures. Uses cleaningdevices such as wet mops, wringers, duster, vacuum cleaner and othernecessary tools, products and supplies. Removes trash to appropriateareas. Dust furniture, walls, machines, and equipment. ESSENTIAL DUTIES AND RESPONSIBILITIES: 1. Empties waste baskets and removes trash. 2. Dusts …",2026-04-24T10:46:31Z,34.047232,https://www.adzuna.com/details/5709415685?utm_medium=api&utm_source=abfa41a4,Janitor,35710.98,-118.141526,Adzuna::API::Response::Job,35710.98,1,,5709415685,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcwOTQxNTY4NSIsInMiOiJ5bHUzbE93XzhSRzYwcF9mVVNkWWxBIn0.7EVVN_S9l2IHdHHoWEAi45XKVGoCmjjQcyQIB3wY2D0,"['US', 'California', 'Los Angeles County', 'Monterey Park']",Adzuna::API::Response::Location,"Monterey Park, Los Angeles County",Dedicated Building Services,Adzuna::API::Response::Company,Domestic help & Cleaning Jobs,Adzuna::API::Response::Category,domestic-help-cleaning-jobs
,"Under general supervision, performs a variety of cleaning and custodialduties including daily cleaning and supplying of bathrooms, offices and otherassigned areas in accordance with standard procedures. Uses cleaningdevices such as wet mops, wringers, duster, vacuum cleaner and othernecessary tools, products and supplies. Removes trash to appropriateareas. Dust furniture, walls, machines, and equipment. ESSENTIAL DUTIES AND RESPONSIBILITIES: 1. Empties waste baskets and removes trash. 2. Dusts …",2026-04-24T10:46:31Z,34.189857,https://www.adzuna.com/details/5709415683?utm_medium=api&utm_source=abfa41a4,Janitor,35060.4,-118.451357,Adzuna::API::Response::Job,35060.4,1,,5709415683,eyJhbGciOiJIUzI1NiJ9.eyJzIjoieWx1M2xPd184Ukc2MHBfZlVTZFlsQSIsImkiOiI1NzA5NDE1NjgzIn0.g5Cs7mo_BjNf42-f8z5FqnAwWRqSdSePYW3MlGM_sOU,"['US', 'California', 'Los Angeles County', 'Van Nuys']",Adzuna::API::Response::Location,"Van Nuys, Los Angeles County",Dedicated Building Services,Adzuna::API::Response::Company,Domestic help & Cleaning Jobs,Adzuna::API::Response::Category,domestic-help-cleaning-jobs
,"Under general supervision, performs a variety of cleaning and custodialduties including daily cleaning and supplying of bathrooms, offices and otherassigned areas in accordance with standard procedures. Uses cleaningdevices such as wet mops, wringers, duster, vacuum cleaner and othernecessary tools, products and supplies. Removes trash to appropriateareas. Dust furniture, walls, machines, and equipment. ESSENTIAL DUTIES AND RESPONSIBILITIES: 1. Empties waste baskets and removes trash. 2. Dusts …",2026-04-24T10:46:31Z,33.829187,https://www.adzuna.com/details/5709415680?utm_medium=api&utm_source=abfa41a4,Janitor,37996.49,-118.316971,Adzuna::API::Response::Job,37996.49,1,,5709415680,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTcwOTQxNTY4MCIsInMiOiJ5bHUzbE93XzhSRzYwcF9mVVNkWWxBIn0.7tdhW_UeK-PcUH7t8cr_w33-cQCAJCyaIHnZQO3jwHE,"['US', 'California', 'Los Angeles County', 'Torrance']",Adzuna::API::Response::Location,"Torrance, Los Angeles County",Dedicated Building Services,Adzuna::API::Response::Company,Domestic help & Cleaning Jobs,Adzuna::API::Response::Category,domestic-help-cleaning-jobs
,"Under general supervision, performs a variety of cleaning and custodialduties including daily cleaning and supplying of bathrooms, offices and otherassigned areas in accordance with standard procedures. Uses cleaningdevices such as wet mops, wringers, duster, vacuum cleaner and othernecessary tools, products and supplies. Removes trash to appropriateareas. Dust furniture, walls, machines, and equipment. ESSENTIAL DUTIES AND RESPONSIBILITIES: 1. Empties waste baskets and removes trash. 2. Dusts …",2026-04-24T10:46:31Z,39.89138,https://www.adzuna.com/details/5709415681?utm_medium=api&utm_source=abfa41a4,Janitor,38162.92,-120.373608,Adzuna::API::Response::Job,38162.92,1,,5709415681,eyJhbGciOiJIUzI1NiJ9.eyJzIjoieWx1M2xPd184Ukc2MHBfZlVTZFlsQSIsImkiOiI1NzA5NDE1NjgxIn0.xeKfEwjLEARH1JqFrpvomLpoVPHRTl0oSVYebdNdud0,"['US', 'California', 'Plumas County', 'Portola']",Adzuna::API::Response::Location,"Portola, Plumas County",Dedicated Building Services,Adzuna::API::Response::Company,Domestic help & Cleaning Jobs,Adzuna::API::Response::Category,domestic-help-cleaning-jobs
