description,latitude,created,redirect_url,__CLASS__,longitude,adref,salary_min,salary_is_predicted,id,salary_max,title,location.area,location.__CLASS__,location.display_name,company.__CLASS__,company.display_name,category.__CLASS__,category.label,category.tag,contract_time,contract_type
"Supplemental Health Care is seeking a travel nurse RN Labor and Delivery for a travel nursing job in State College, Pennsylvania. Job Description & Requirements Specialty: Labor and Delivery Discipline: RN Start Date: ASAP Duration: 13 weeks 36 hours per week Shift: 12 hours, days Employment Type: Travel Job Description: Step into a role where your Labor & Delivery skills make an immediate impact. Supplemental Health Care is connecting L&D RNs with standout hospital partners in State College, P…",40.803566,2026-07-12T10:25:31Z,https://www.adzuna.com/land/ad/5797979448?se=8L7GCv998RG6JP0nGhfLVg&utm_medium=api&utm_source=abfa41a4&v=CCD6646CBBF3BF9C2590E4325C5D59933F7EE3C2,Adzuna::API::Response::Job,-77.896898,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc5Nzk3OTQ0OCIsInMiOiI4TDdHQ3Y5OThSRzZKUDBuR2hmTFZnIn0.CkUyx83IxvRApY3JpAiRYVLLcHAQ2u2ZxLhV_lob5C8,0.0,0,5797979448,104780.0,"Travel Labor and Delivery RN - $2,015 per week","['US', 'Pennsylvania', 'Centre County', 'University Park']",Adzuna::API::Response::Location,"University Park, Centre County",Adzuna::API::Response::Company,Supplemental Health Care,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,healthcare-nursing-jobs,,
"Supplemental Health Care is seeking a School Services School Occupational Therapist for a local contract job in Glendale, Arizona. Job Description & Requirements Specialty: Occupational Therapist Discipline: School Services Start Date: ASAP Duration: 13 weeks 40 hours per week Shift: 8 hours, days Employment Type: Local Contract Job Description: Hourly Rate $41.50 - $44.70 per hour | $3,000 Assignment Bonus* Help kids shine as a School-Based OT! Are you ready to make a real difference in studen…",33.66055,2026-07-12T10:25:29Z,https://www.adzuna.com/land/ad/5797979447?se=8L7GCv998RG6JP0nGhfLVg&utm_medium=api&utm_source=abfa41a4&v=39443FEAA745A8FF30FD7AB86F6AA5CAB7846520,Adzuna::API::Response::Job,-112.18457,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc5Nzk3OTQ0NyIsInMiOiI4TDdHQ3Y5OThSRzZKUDBuR2hmTFZnIn0.S_UE8NmtGBfA-xMdPV9ztnxBsNuexcbBACd0I1Scrzc,0.0,0,5797979447,93600.0,School Occupational Therapist - $45 per hour,"['US', 'Arizona', 'Maricopa County', 'Peoria']",Adzuna::API::Response::Location,"Peoria, Maricopa County",Adzuna::API::Response::Company,Supplemental Health Care,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,healthcare-nursing-jobs,,
"University Overview The University of Pennsylvania, the largest private employer in Philadelphia, is a world-renowned leader in education, research, and innovation. This historic, Ivy League school consistently ranks among the top 10 universities in the annual U.S. News & World Report survey. Penn has 12 highly-regarded schools that provide opportunities for undergraduate, graduate and continuing education, all influenced by Penn’s distinctive interdisciplinary approach to scholarship and learn…",,2026-07-12T10:23:09Z,https://www.adzuna.com/details/5797979394?utm_medium=api&utm_source=abfa41a4,Adzuna::API::Response::Job,,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiOEw3R0N2OTk4Ukc2SlAwbkdoZkxWZyIsImkiOiI1Nzk3OTc5Mzk0In0.g-4naz6rX7EOPVSzLRAWDYM4epJEZdP2HOyMsB6Fnv8,47313.0,0,5797979394,53418.0,Clinical Research Coordinator A/B (Dept. of Surgery),['US'],Adzuna::API::Response::Location,US,Adzuna::API::Response::Company,University of Pennsylvania,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,healthcare-nursing-jobs,full_time,
"Supplemental Health Care is seeking a travel MRI Technologist for a travel job in Pontiac, Michigan. Job Description & Requirements Specialty: MRI Technologist Discipline: Allied Health Professional Start Date: ASAP Duration: 13 weeks 36 hours per week Shift: 12 hours Employment Type: Travel Job Description: Supplemental Health Care is seeking an experienced MRI Technologist for a contract assignment at a partnering Hospital in Pontiac, Michigan. As an MRI Tech, you’ll use advanced imaging tech…",42.670356,2026-07-12T10:22:01Z,https://www.adzuna.com/land/ad/5797979371?se=8L7GCv998RG6JP0nGhfLVg&utm_medium=api&utm_source=abfa41a4&v=387D853B2619C5256FBE1C9E27A49679901C9668,Adzuna::API::Response::Job,-83.291458,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc5Nzk3OTM3MSIsInMiOiI4TDdHQ3Y5OThSRzZKUDBuR2hmTFZnIn0.dM5Trn1fw7wlQlTMB0kyZLMiI51-lgjH8HY3KdbJNPg,0.0,0,5797979371,103168.0,"Travel MRI Technologist - $1,984 per week","['US', 'Michigan', 'Oakland County', 'Pontiac']",Adzuna::API::Response::Location,"Pontiac, Oakland County",Adzuna::API::Response::Company,Supplemental Health Care,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,healthcare-nursing-jobs,,
"Supplemental Health Care is seeking a travel Ultrasound Technologist for a travel job in Keene, New Hampshire. Job Description & Requirements Specialty: Ultrasound Technologist Discipline: Allied Health Professional Start Date: ASAP Duration: 13 weeks 40 hours per week Shift: 8 hours, nights Employment Type: Travel Job Description: Supplemental Health Care is hiring Medical Sonographers for contract assignments at partnering Hospital in Keene, New Hampshire. Whether you’re looking to travel or …",42.97188,2026-07-12T10:22:01Z,https://www.adzuna.com/land/ad/5797979370?se=8L7GCv998RG6JP0nGhfLVg&utm_medium=api&utm_source=abfa41a4&v=2A56EE0B7F593EABE464EEBDC1DEE43342777E31,Adzuna::API::Response::Job,-72.30588,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiOEw3R0N2OTk4Ukc2SlAwbkdoZkxWZyIsImkiOiI1Nzk3OTc5MzcwIn0.c4ZvHw7HimIrcHBRQPOSJBtgHwxmalaLoLL0LcjhFYM,0.0,0,5797979370,129272.0,"Travel General Diagnostic Medical Sonographer - $2,486 per week","['US', 'New Hampshire', 'Cheshire County', 'Keene']",Adzuna::API::Response::Location,"Keene, Cheshire County",Adzuna::API::Response::Company,Supplemental Health Care,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,healthcare-nursing-jobs,,
"Prime Staffing is seeking a travel CT Technologist for a travel job in Baker City, Oregon. Job Description & Requirements Specialty: CT Technologist Discipline: Allied Health Professional Start Date: ASAP Duration: 13 weeks 40 hours per week Shift: 8 hours Employment Type: Travel ID: 63023307 Shift: 07:00 AM-03:30 PM Description: Day shift 0700-1530, Holiday Rotation-1 Holiday if needed, Call 1 day per week if needed. BLS, ARRT(CT) (R) and Oregon License required. Credentials: License:License/C…",44.77776,2026-07-12T10:22:00Z,https://www.adzuna.com/land/ad/5797979369?se=8L7GCv998RG6JP0nGhfLVg&utm_medium=api&utm_source=abfa41a4&v=65D1518A02A1906492E90E7AB79B75857ACF1E5D,Adzuna::API::Response::Job,-117.84306,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiOEw3R0N2OTk4Ukc2SlAwbkdoZkxWZyIsImkiOiI1Nzk3OTc5MzY5In0.NXJj8NeDzgxdJCPfgZRlCBw6KTVAlusOADefPWkrhck,0.0,0,5797979369,119288.0,"Travel CT Technologist - $2,294 per week","['US', 'Oregon', 'Baker County', 'Baker City']",Adzuna::API::Response::Location,"Baker City, Baker County",Adzuna::API::Response::Company,Prime Staffing,Adzuna::API::Response::Category,HR & Recruitment Jobs,hr-jobs,,
"Vivian is looking for Travel Occupational Therapist Therapys in Shelton, Washington paying up to $2,125/week At Vivian, we ensure your next step is a step forward. That's why we built a jobs marketplace that serves healthcare professionals first. It's easy to get started: Create a profile - Build your reputation with a universal profile that works across hundreds of different healthcare employers. Explore your options - Select your preferences (shift details, salary, location, etc.) and discove…",47.222579,2026-07-12T10:21:58Z,https://www.adzuna.com/land/ad/5797979359?se=8L7GCv998RG6JP0nGhfLVg&utm_medium=api&utm_source=abfa41a4&v=2E396414C9694753DFE8D678ED0BAB45FC9A1C0E,Adzuna::API::Response::Job,-123.082444,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc5Nzk3OTM1OSIsInMiOiI4TDdHQ3Y5OThSRzZKUDBuR2hmTFZnIn0.4vLs-wpKsDlM9igVP8ryvSKNcQQwXdK1wpyF1xw82Ls,0.0,0,5797979359,110500.0,"Travel Occupational Therapist - Paying up to $2,125/week","['US', 'Washington', 'Mason County', 'Harstine']",Adzuna::API::Response::Location,"Harstine, Mason County",Adzuna::API::Response::Company,Vivian Health,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,healthcare-nursing-jobs,,
"Vivian is looking for Travel Physical Therapy Assistant Therapys in Kennebunk, Maine paying up to $1,850/week At Vivian, we ensure your next step is a step forward. That's why we built a jobs marketplace that serves healthcare professionals first. It's easy to get started: Create a profile - Build your reputation with a universal profile that works across hundreds of different healthcare employers. Explore your options - Select your preferences (shift details, salary, location, etc.) and discov…",43.391181,2026-07-12T10:21:58Z,https://www.adzuna.com/land/ad/5797979364?se=8L7GCv998RG6JP0nGhfLVg&utm_medium=api&utm_source=abfa41a4&v=1C84A18E3599C849861982EBE72EB93F7D8DE9A3,Adzuna::API::Response::Job,-70.553272,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiOEw3R0N2OTk4Ukc2SlAwbkdoZkxWZyIsImkiOiI1Nzk3OTc5MzY0In0.rJZmmtwcIvLsgvWkkXjeuunLqfX8M7153U0a7G9ZfI4,0.0,0,5797979364,96200.0,"Travel Physical Therapy Assistant - Paying up to $1,850/week","['US', 'Maine', 'York County', 'Kennebunk']",Adzuna::API::Response::Location,"Kennebunk, York County",Adzuna::API::Response::Company,Vivian Health,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,healthcare-nursing-jobs,,
"Join VitalCaring – Where Your Passion Changes Lives! Who We Are Founded in 2021, VitalCaring has grown into a leading provider of home health and hospice services, with over 100 locations across the country. We are committed to fostering a culture of support, growth, and excellence for our team that is the backbone of how we ensure we deliver exceptional patient care. What Sets Us Apart? Drive Innovation. Deliver Impact - Join a mission-driven team where your work directly contributes to advanc…",31.077436,2026-07-12T10:20:34Z,https://www.adzuna.com/details/5797979306?utm_medium=api&utm_source=abfa41a4,Adzuna::API::Response::Job,-97.231046,eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTc5Nzk3OTMwNiIsInMiOiI4TDdHQ3Y5OThSRzZKUDBuR2hmTFZnIn0.H-9xPxx0vIE0vKalNJOzRUWvR6TOrDZQo7982yssMgY,84772.45,1,5797979306,84772.45,Account Manager - (Home Health Sales),"['US', 'Texas', 'Bell County', 'Temple']",Adzuna::API::Response::Location,"Temple, Bell County",Adzuna::API::Response::Company,VitalCaring Group,Adzuna::API::Response::Category,Sales Jobs,sales-jobs,,
"Closing Date: 06/30/2027 Type of Position: Job Type: Visiting Resident Work Shift: Institution Name: University of Arkansas for Medical Sciences The University of Arkansas for Medical Sciences (UAMS) has a unique combination of education, research, and clinical programs that encourages and supports teamwork and diversity. We champion being a collaborative health care organization, focused on improving patient care and the lives of Arkansans. The safety of our team members at the University of A…",34.749966,2026-07-12T10:20:15Z,https://www.adzuna.com/details/5797979297?utm_medium=api&utm_source=abfa41a4,Adzuna::API::Response::Job,-92.285201,eyJhbGciOiJIUzI1NiJ9.eyJzIjoiOEw3R0N2OTk4Ukc2SlAwbkdoZkxWZyIsImkiOiI1Nzk3OTc5Mjk3In0.fhrGx4BErtrvCJHp7wf_KrnTbzxB4jPlwLMYxrUe0N4,31479.71,1,5797979297,31479.71,Contingent Worker GME Visiting Resident,"['US', 'Arkansas', 'Pulaski County', 'Little Rock']",Adzuna::API::Response::Location,"Little Rock, Pulaski County",Adzuna::API::Response::Company,University of Arkansas,Adzuna::API::Response::Category,Healthcare & Nursing Jobs,healthcare-nursing-jobs,full_time,
